ax,ay,az

 -41,   13,    4

   2,   62,   22

  84,   16,   43

  10,  -29,  -63

 -92,  -15,  -38

  68,  112,  104

 -10,   46,   14

-242, -174,  -26

   0,   11,   78

 171, -134,  -52

 -26,   -5,  104

 -51,  -26,   50

  43,  -68,  -29

-337,  107,  -23

 -12,  -22,  -24

   8,   69,   24

  -1,  -26,   24

 -23,  127,    4

 141,  119,  -53

-195,  -75,   26

  31,  -11,   -1

  44,  -43,  -34

 107,   36,  -61

-108,  -66,  -16

 302,   17,   32

 101,  -56,   18

-108,  -97,  -91

 130,   52,  -15

  84,  -29,   12

  -8,  -32,   -7

-232,  -52,    6

  86,   29,   26

  13, -159,   12

-104,   23,   12

  48,   -5,   11

-294,   68,  -12

 304,   48,   -9

  43,  -77,   45

-132,  -76,   70

-396,   10,   -4

  73,   46,  117

 -64, -147,   68

 285,    1,   -9

 299,  -30,  -44

-212,   60,  152

 159,  137,  -29

  34,   -6,   59

 395,    9, -285

 129,  -30, -103

-275,  151,   94

-307, -165, -109

 147,   91,  141

-161,  110,  134

-133,  -16,   60

 199,   12,   -6

  57,   44,  -45

-162,   70,   63

 124,  -43,  -16

-181, -126,  -42

  32,   -4,  -14

  28,   75,  133

 -50,   23,  113

-107, -179,  -35

 287,  113,   23

  72,    6, -128

-110,    5,  -26

 177,  -54,   61

-132,  -37,  -14

 168,   33,  103

  70,   61,   16

-125,   18,   28

-235,  202,   55

 255,  -36,  -19

-191, -131,   74

-140,   46,  115

 511,  250, -129

 348,  -16, -353

-160,  178,  -14

 -12,  -35,    5

 122, -254,  -45

  74,   54,  -60

-112,  -67,   98

  47,  -34,  133

-267,   -7,  -28

 142, -149,  -32

  31, -171, -135

 -70,  -65,  -28

 -19,  -47,   89

 -64,    8,   26

 267,  -66,   -6

  16,  -56, -119

  -2,  -49,  -64

  -1,   30,  -18

 -16,  -28,  -19

  -3,  136,  -50

-102,  174,   86

  94,  -54,  -17

 -81,  -57,    8

 -83, -107,    1

 -17, -192,   55

 -78,  -12,  -14

 -21,  166,   41

-178,  148,   37

 -13,  -74,   90

-275,    8,   19

 170,   89,  -36

 -13, -135,    8

 178,  -51,   43

-319,   95,   97

 -30, -113,  118

 -97,  153,  -51

 -16, -150,   32

 146,  -76,  -21

 159,  -15,  -13

 -60,   63,  -15

 -88,  249,  -61

  73,   36,  -15

 224,    5,   50

  -3,   63,  -15

 -77,  -10,   16

  15,  -16,  -90

-199,   84,   35

-445,   21,  -89

 155,  156,  121

 124,  -19,   59

 -53,  -49,  -90

 -62,  184,   30

 353,  -71,  -18

-158,  179,   12

 279, -114, -101

  92,  -55,  -35

  37,  -87,   -5

-281,   56,   31

 117,  -65,   30

  52, -245,  -43

 -99,  -19,  -31

  59,  -26,   10

   4,  -61,    9

  56,  -70,    0

  41,  -58,   -2

   4,   -8,   -1

  13,  -48,   -7

  -3,  -29,   -5

   5,    9,   -7

   8,   22,   25

   9,   19,    0

  -2,    2,    2

  12,    0,   -3

   0,    3,    0

   3,    0,    0

  -1,    3,    0

  -2,   -1,    0

  -1,   -1,   -1

  10,   -3,   -1

   3,   -2,   -2

  -3,   12,    2

  10,    6,    0

 -15,   -8,  -10

  20,  -11,   -2

  48,   -3,    2

 -16,   -5,   -2

   2,    5,    5

 -12,  -11,   -6

 -10,    0,    1

   5,  -12,    4

  -2,    2,  -11

  -3,   -1,    0

   1,    3,    2

  17,   -5,   -4

  16,   -3,    0

   8,  -11,    2

  26,   -5,  -14

  13,    1,    8

  26,  -11,  -32

 -21,    1,   -1

