ax,ay,az

  16,  109,  105

 -52,   -1,    0

 -24,  -36,  -87

 144, -184,  -42

 -15, -122,  -53

 193,  273,  196

-205,  -25,   99

 298,  -61,   56

  84,  -70,  161

  94,   38,  -67

 250,   -5,   47

 220,   -5,   62

-230,   96,  140

 -94, -104,   48

 -54,   33,  158

  33,  -84,  -19

 -82,  -55,   28

 -62,  -73,    1

  64,  -21,   10

   9,  -46,    3

   9,   -4,    0

   7,  -15,   -9

   6,   -7,    1

  11,  -19,   14

 -33,    8,  -21

 -52,  -18,    7

  80,   54,  155

 -11,  -28,  -15

  94,    8,   13

 170,  114,  -59

 -91,   58,  -13

  89,   15,   38

  89,   65,   -8

 -68,   20,   10

 117,   12,   19

  37,  -63,  -54

 -97,  -25,   24

 167,    7,   85

 -10,  -18,  -38

 144,  -10,    5

  18,    8,  -23

 112,    2,  -13

 -39,  -66,   30

 136,  -16,  -18

 -67,  -73,  -32

 -53,  -47,   36

-216,  -40,  -35

  70,  -66,  -35

 -51,   25,   27

-128,    6,    8

  -6,   -8,   29

 -62,  -30,   -1

 -42,   -8,   18

 -23,  -15,    3

  -7,   -7,   -1

  -7,   -9,   -1

   0,   12,    5

 -11,  -49,   14

 -53,  -76,    5

  -5,  -93,   23

  78,  -91,  -24

  -8,  -55,  -17

  54,    7,  -26

 -10,  -11,   43

-122,   37,    2

  -2,  -40,   50

   2,  -50,  -76

-112,  182,   90

  64,   22,    6

-274,   29,  167

  20,   39,   93

 117, -124,   13

 -51,  -66,  176

 309,  -66,  -15

-182,  129,   49

 257,  -13,  -38

 114,   93,  -43

 -79,  -21,  -31

 511,  141, -313

 308,  -73,  113

  44,  -33,  -13

  73,   71,    0

-131,  109,  -50

   3,  130,   22

-147,   40,   50

  78,   19,   50

 133,  100,   24

 -96,   49,   68

 -66,  -11,   10

  26,   44,   -9

   8,  -12,   48

-185,  -34,  -32

 -21,  -33,    6

 176,   48,   82

   4,   51,   35

  21,   61,   98

 -98,   34,    2

-126,   25,   63

-272,  125,   56

 -31,  -53,   44

-170,   85,   81

 121,  -41,   85

 -19,  128,   81

  16,  191,   24

 -15,   79,   34

 190,  -54,  -41

-164,   95,   46

  15,   57,  162

 -56,   -3,   54

-198,   15,   75

 111,   -3,   41

 -87, -277, -128

 233,  -82,    3

  -3,   -4,   55

-102,  -34,  -33

  15,   -4,   41

  22,  -40,    4

   7,  -13,   -5

  21,   -9,   -2

  12,  -11,   -4

   2,   -6,    1

   9,   -5,    0

  -4,   -7,    0

  -9,   -6,    1

  -3,   -7,    1

  -2,   -6,    0

  -2,   -4,    2

  -5,   -6,    2

  -1,   -5,    1

   3,   -7,    0

  -1,   -6,    0

  -2,   -6,    0

  -4,   -6,    0

   0,   -6,    0

   5,   -6,    1

  -4,   -6,    0

  -4,   -6,   -1

  -1,   -6,    0

  -3,   -5,    0

  -1,   -6,    1

  -2,   -6,    1

  -2,   -6,    1

  -2,   -6,    0

  -2,   -6,   -1

  -3,   -5,    0

   0,   -7,    1

  -2,   -5,    1

  -1,   -6,    1

  -3,   -6,    0

  -2,   -6,    0

  -1,   -6,    0

  -1,   -6,    0

  -1,   -7,    0

  -2,   -7,   -1

  -2,   -6,    0

   0,   -5,    0

  -1,   -5,    0

  -1,   -6,    0

  -2,   -7,    1

  -2,   -6,    0

  -3,   -6,    0

  -2,   -6,    0

  -1,   -6,    0

  -1,   -7,    0

  -2,   -6,    0

  -1,   -6,    1

  -2,   -6,    0

  -1,   -6,   -1

  -1,   -6,    0

  -1,   -6,   -1

  -2,   -5,    1

  -2,   -6,    0

  -1,   -7,    1

  -1,   -6,   -1

  -2,   -5,    0

  -3,   -6,    0

  -1,   -7,    0

   0,   -7,    1

  -2,   -6,   -1

  -1,   -6,   -1

  -3,   -7,    0

  -1,   -7,    1

   0,   -6,    0

   0,   -6,    1

   0,   -6,   -1

  -1,   -6,    1

  -2,   -5,   -1

  -2,   -6,    1

   1,   -6,    0

   0,   -5,   -1

  -1,   -6,    0

   0,   -6,    1

  -1,   -6,    0

  -3,   -5,    0

  -2,   -6,   -1

  -1,   -5,    0

   0,   -6,   -1

  -2,   -6,    0

  -2,   -5,    0

  -1,   -6,    1

  -1,   -6,    1

  -1,   -7,    0

  -2,   -5,   -1

  -2,   -6,    0

  -2,   -5,    0

  -2,   -6,   -1

  -1,   -5,    0

  -2,   -7,    0

  -1,   -6,   -1

  -1,   -5,    0

  -2,   -5,    0

   0,   -7,    0

  -2,   -5,    0

  -4,   -6,    1

  -2,   -6,   -1

  -1,   -5,    1

   0,   -6,    1

  -1,   -5,    0

  -1,   -6,    1

  -1,   -6,    1

  -2,   -6,   -1

  -2,   -5,    0

  -2,   -6,    0

  -1,   -7,   -1

  -2,   -5,   -1

  -1,   -6,    0

  -1,   -5,    0

  -3,   -6,   -1

  -2,   -6,    0

  -1,   -6,   -1

   0,   -6,    0

  -1,   -6,    1

  -2,   -7,   -1

end

