ax,ay,az

  38,    2,  -44

  76,   83,   46

 161,  -18,   -6

  51,   37,   -1

 116,   40,  -14

 -75,  -14,  -46

  35,  -20,   33

 -70,    8,   76

-512,  -68,  -23

 260,  -85,   48

-134,  120,   16

 167, -205,   34

-285,   -4,   84

-192,   69,   62

-121,   -7,  -24

  87,  -64,   16

-103, -246,   69

 -64,  -86,  -26

 -83, -108,  -30

-202,  -50,   50

-177, -112,  -48

-102,  -65,  -17

 -88,  -61,   13

  42,  -31,   53

 -84,  -75,  -67

 -58,   20,   30

 -35,   -2,   26

  -8,   23,   15

  12, -141,   26

  18,  -15,  -20

  13,   -8,   65

 -45,  -30,    5

 -29,  -78,   10

 124,  -63,   53

  39,  -15,   54

 -48,  -42,   19

 -47,  -94,   13

-269,   -3,   40

-114,   33,   27

 -53,  -75,    0

-493,   14,   50

 301, -228,  -24

 341,   -9,  115

  40,  115,  -69

-319,  -55,    8

-512,   67,   11

-170,  -27,   52

 279, -134,   12

-218,   70,   13

 245,  -29,  -27

 -64,   78,   10

 -73,  136,  -13

  61,   39,   35

  12,   79,   31

 -19,   67,   20

  -7,    1,    0

  -6,    4,   -8

 -33,    2,  -44

 138,  108,   36

  89,  109,   21

 -85,   51,    4

-105,   -4,  -56

-119,   61,   60

  78,  -80,   63

   1,  -44,  -18

-229,  -77,   -6

 -32,  -63,   18

  34,   53,  -47

-289,  -97,   84

 164,  -88,  -30

 -52, -139,  -49

 -41,  -80,  100

 -99,   11,   -3

 -90,   46,  120

  76,   64,   54

 145,  -13,   86

   2,   -9,   -3

  46,   14,    8

 -77, -128,   15

 -53,   57,   -8

-120,  120,   33

-146,  119,  -11

  26,    7,  -65

-112,  -68,    6

 165,  -37,   45

  18,   54,   17

  21,  -15,   51

 127,   -7,   16

  66,   10,    1

 103,  -11,  -80

  53,  -18,   16

  29,   31,  -56

 243,   -9,   33

 -59,   11,   -7

 151,   40,   57

  -5,   18,  -39

-154,  141,   -3

 245,  -57,  -28

 304, -170,   -1

-299,  -39,   59

  69, -127,   -1

-366,  124,  124

-112,  -42,   18

-257,  113,  123

 -98,  -17,   72

-115,  178,  -28

  51,  150,   45

-174,  -11,   12

 -11, -176,    1

-200,  212,   66

-310,   14,  104

 -28,   24,  -78

-239,   34,   29

 -77,   -5,  -29

 -87,  -19,  -15

 -59,  -17,   -8

 -22,   -9,   -1

  -9,   -6,    1

   6,   -4,    1

   7,  -12,   -6

  10,   -2,   -2

  16,   -2,   -1

   1,   -4,    0

  -2,   -4,   -1

  -3,   -5,    1

  -4,   -4,   -1

  -2,   -5,    0

  -5,   -3,    1

   0,   -3,    0

  -3,   -4,    0

  -3,   -5,    0

  -4,   -3,    0

   0,   -5,    0

  -1,   -4,    1

  -1,   -4,    0

  -2,   -5,   -1

  -3,   -4,    0

  -3,   -3,    1

  -3,   -3,    1

  -2,   -3,   -1

  -1,   -4,    1

   0,   -6,    0

  -4,   -5,   -1

  -5,   -4,    0

   0,   -4,    1

   0,   -4,    1

  -1,   -5,    1

  -2,   -4,    0

  -3,   -3,    1

  -3,   -4,    0

  -6,   -5,    0

  -6,   -3,    1

  -4,   -4,    1

  -1,   -5,    1

  12,   -2,   -1

   2,   -4,    0

  -2,   -4,   -1

   0,   -4,    0

   1,   -3,    1

  -6,   -6,    0

  -8,   -6,   -1

  -5,   -4,   -1

  -3,   -4,   -1

  -2,   -4,    0

  -3,   -3,   -1

  -2,   -4,    1

  -1,   -3,    2

   1,   -4,   -1

  -1,   -3,    0

  -1,   -3,    0

  -4,   -4,    1

  -3,   -5,    0

  -2,   -5,    0

  -3,   -4,   -1

  -1,   -3,    1

   0,   -4,    0

  -1,   -3,    2

  -2,   -3,    1

  -2,   -5,    2

  -3,   -4,    0

  -3,   -4,    0

  -4,   -4,    0

  -1,   -2,    1

  -2,   -5,    0

   0,   -3,    1

  -1,   -4,   -2

  -3,   -4,   -1

  -4,   -4,    0

  -2,   -4,    1

  -2,   -4,    1

  -1,   -5,    0

end

