ax,ay,az
  11,   53,   -2
 136,  185,  114
  -6,  -48,  -74
   6,  174,   93
 242,   -5,    5
 -49,  -54,  -42
 203,   90,   82
-181,  -54,  -18
 246,   68,  105
   9,   82,  110
  30,   71,  104
 -66,   17,   57
 -33,   18,  -68
-166,   39,   33
  54,  -38,   35
  42,  -28,   37
 -39,   63,  140
 -57, -128, -165
 -44,   -6,  116
  76,  -47,    8
 112,  -98,  -88
 113,  -40,   24
  17,  -81,  -60
 -12,  -39,  -80
 -16,  -50,   24
  17, -146,  -51
 -87,   15,   91
-199, -133,  -78
  65,   14,  122
-132,   -4,   90
  89,  -25,  -50
 140, -158,  126
  65,  -40,  109
   6, -230,  -87
 142, -145,    2
 144, -165,   35
 267,   31,  109
 346,  -28,   75
-114,  -97,   92
-114,   53,  -37
-199,   30,   74
 390,   43,  131
-289,   56,    0
-234,   89,  -57
   5,   -9, -143
-153,   -8,   79
-207,   77,  157
 -42,   48,   15
 -91,   34,  -43
  -9,   84,   49
  15,  -43,  -32
  64,  105,   74
 -14,  -66, -126
  53,  106,   31
 174,   20,  -96
  77,  153,   96
 -20,  -66,  -93
  48,   59,  103
-137,  -16,   34
 -55,    0,   -8
-144,  106,   52
 -72,  188,   25
-234, -110,   39
-206,  221,  204
-487,  -97,   52
-512,  246,  184
 164,  217,   13
 247,  116,   37
-437,  330,  -43
-512, -512,  511
 127,   54,   36
 462,   43,   70
-220, -135,  -47
-447,  -14,   31
-349, -318,  218
-445, -161,  -45
 -30,  -40,  146
 292,   44,  118
 107, -132,   64
 -50,  -77,  135
-107, -156,  148
-312, -119,   91
  40,  -92,  -10
-126,   93,   30
  46,  -93,   70
  29, -111,  -23
-153,  -54,    2
 311,  -67,   18
  62,   57,   32
 238,  -69,   60
-126,   64,   73
  70,  -71,   23
  76,  -97,  -36
 105,  -71,  -52
 178, -118,   63
 353, -244,  125
  55, -135,  163
 511, -439,   32
 -81, -471,  201
 -37,   23,  121
-436, -512,  511
-512,  170, -223
 351, -512,  511
  71,  -56,  -18
-512,  -20,  258
-512,  -62,  158
 -17,  -61,   16
 428,   91,   14
   9,   10,  104
-377,  220,  -35
 -90,  150,   51
 242,  119,   19
 -15,   14, -115
-181,  143,   15
-219,  -85, -111
  -6,  128,   23
-122,   59,   14
  78,  -33,  -55
   9,    2,  -51
-119,  -25,  -85
 -55,  -60,   10
 -52,  -28,   23
 153,  194,   41
  74,  -12,  -27
-136,   61,   98
  33,  126,   29
 214,   97,    2
 242,  -18,  -92
  37,   85,  115
  40,  -94,  -73
 -47,    6,  -74
  68, -122,   18
-271,   51,  167
 129,  -39,  -25
  34,  -31,   56
 154,  -55,   35
 -23,  -38,  177
-139,  -90,   50
   8,  -96,  -17
 -17,  -57,   -8
   6,   -8,    7
 -16,    2,    0
  -4,    2,    1
  -1,    1,    2
  -1,   -1,    1
   0,    0,    0
   0,    0,    1
  -2,    3,    1
  -1,    0,    1
   0,    0,    1
  -1,    0,    1
  -1,    0,    1
   0,    0,    0
   0,   -1,    1
   0,    0,    0
   0,    1,    1
  -1,    0,    0
  -1,    0,    0
   0,    0,    0
   0,    1,    0
   0,    0,    1
   0,    1,    0
   0,    0,    0
  -1,    0,    1
  -1,    0,    1
   0,    1,    0
  -1,    0,    2
  -1,    0,    1
  -1,    0,    2
   0,    1,    1
   0,    1,    2
  -1,    0,    1
  -1,    0,    0
   0,    0,    1
   1,    0,    0
  -1,    1,    1
   0,    0,    0
  -1,    1,   -1
   0,    0,    2
  -1,    0,    0
  -1,    0,   -1
  -1,    0,    2
  -1,    1,    2
   1,    0,    0
   0,    0,    1
  -1,    0,    1
   1,    0,    2
  -1,    0,    1
  -1,   -1,    2
   0,    0,    0
  -1,    1,    2
  -1,    1,    1
   0,   -1,   -1
  -1,    1,    0
  -1,    1,    1
   0,    0,    0
   0,    0,    1
   0,    0,   -1
  -1,    1,    0
   0,    0,    1
   0,    0,    1
   0,    0,    0
  -1,    0,    1
  -1,    1,    1
  -1,    2,    1
  -2,    0,    1
  -1,    1,    1
   0,    0,    0
  -1,    0,    1
  -1,    0,    0
   0,    0,    2
  -1,    0,    1
   1,    0,    0
   0,    1,    1
  -1,    1,    1
  -1,    1,    1
   0,    0,    1
  -1,    0,    1
   0,    0,    2
  -1,    1,    1
   0,    1,    1
  -1,    1,    2
   1,    1,    0
  -1,    0,    0
  -1,    0,    2
   0,   -1,    0
  -1,    1,    0
   0,    1,    2
  -1,    1,    1
   0,    0,    0
  -1,    0,    0
  -1,   -1,   -1
  -1,    1,    0
  -1,    1,    1
   0,    0,    1
  -1,    0,    0
   0,    1,    0
   1,    1,    2
  -1,    1,    0
   0,    0,    0
  -1,    1,    0
  -1,    0,    1
  -1,    2,    0
  -1,    1,    1
   0,    0,    1
   0,    0,    1
   0,    0,    1
  -2,    0,    0
   0,    0,    1
   0,    0,    1
   0,   -1,    0
  -1,    0,    0
   0,    0,    0
  -1,    0,    1
   0,    1,    1
   0,    0,    1
  -1,    0,    1
  -1,    0,    0
  -1,    0,    0
  -1,    0,    1
  -1,    0,    0
   0,    0,    1
  -1,    0,    0
   0,    1,    0
   0,    1,    1
  -1,    2,    0
  -1,    0,    0
  -1,    1,    0
  -1,    0,    1
  -1,    1,    1
  -1,    1,    1
   0,    0,    1
  -1,    0,    1
  -1,   -1,    1
   0,    0,    1
  -1,    0,    0
   0,    1,    2
  -2,    1,    1
  -1,    1,    1
  -1,    1,    1
   0,    1,    1
  -2,    1,    1
  -1,    0,    1
  -1,    0,    1
   0,    1,    0
  -1,   -1,    0
  -1,    0,    1
  -2,    1,    1
  -1,    0,    0
   1,   -1,    0
  -1,    0,    1
  -1,    0,    0
   0,    0,    1
  -1,    0,    0
  -1,    1,    1
  -1,    0,    0
  -2,    0,    1
  -1,    0,    1
  -1,    0,    1
   0,    0,    1
   0,    0,    0
  -2,    0,    2
  -1,    1,    0
  -1,    2,    1
  -1,    0,    1
  -1,    1,    0
  -1,    0,    1
  -1,   -1,    2
  -2,    0,    0
  -1,    1,    1
  -1,    1,    1
   0,    0,    0
  -1,    0,    1
   0,    0,    1
  -1,    1,    0
   0,    0,    2
   0,    0,    0
  -1,    1,    0
  -1,    1,    0
