ax,ay,az
  -4,   77,    6
  42,   59,  -20
 -61,   77,  -13
  47,  139,  152
 -51,   90,   64
 -59,   80,  111
 -29,  -26,   94
  -5,   32,   40
 250,  -47,   25
  40,  -51,   78
 123,  -27,  -26
-182, -126,   99
 -32,  -25,   -1
 -11,   53,  144
 -94,  -67,   21
  19,  -62,  -32
   2,  -35,   -2
  10,    1,    1
   0,   -6,    0
  -1,    0,    3
  -2,   -1,    1
  -1,    2,    0
   1,   -1,    2
   8,    2,    3
  16,    2,   -1
  17,   -1,   -6
  17,    3,    0
  25,  -19,  -32
  -2,  -13,   12
 -24,   43,   35
 -28,  -12,  -30
  64,   28,    2
 118,  -66,  -83
  97,   36,   94
 235,  103,  122
-175,  136,   88
 -34,  -56,  -50
-252,   73,   32
 -23,  145,  -23
 224,  -71, -107
 128,  154,  108
  10,   54,  209
 178,  -54, -118
 -97,  -51,  -11
 -33,  -67,  158
  20,   55,   40
 -93, -132,  109
-101,  -70,    7
-120,  -78,  -39
 -33,  -29,   32
 -57,  -54,  -11
 -42,  -16,   -4
  -4,  -18,    3
   0,  -42,   -5
 -59,  -65,  -43
 -13,  -22,    1
  80,    7,   25
  13,  -67,   55
-245,  -83, -116
-118,  -14,   37
 223,   53,   38
  47,  -43,  -72
 242,    5,   86
 205,  -18, -123
-305,   33,   68
 195,   27,   55
 -53,   -4,   31
 -78,  -39,  211
 302,  -85,  -62
  69,  -40, -119
-371,   78,  113
 -63,   74,   14
  13,  -76,    6
-230,  131,   71
  53,   50,  -28
  51,   51,    9
  63,   42,  -55
-145,  -31,   57
  29,   46,   37
 -50,   -6,  -18
 -62,   -5,    5
   5,  -74,  -16
-104,   62,  167
 124,   48,   -6
-188,   23,    9
  47,   82,  -24
-109,  104,    1
 148,  153,  -27
 145,  193,  149
 -62,  148,  164
-107,  103,   83
   5,  -50,  -69
 -57,   15,   34
-155,  113,   24
-107,  116,  126
-183,   65,  292
 -44,  108,    1
 178,   72,  -46
 -44,  128,  -56
-105, -150,  -85
-133, -142,   89
-304,   16,   25
 -39,   56,   79
  79,  163,  -96
  12, -114,  -41
 -42,  -78,  -57
  39,   11,   85
 -59,  -34, -119
 178,   35,   47
  33, -151,  -56
  89,  -70,  -14
  -6,  -53,  -68
 112,  -66,   47
 -20,  -19,  -16
  18,   -3,    1
  18,   -1,    2
   2,    2,    1
  -3,   -1,    1
  -2,   -3,    0
  -2,   -1,    1
  -2,   -1,    0
  -2,   -1,    1
  -3,    0,    1
  -1,   -3,    1
  -2,    2,    4
  -2,   -3,   -1
  -1,    0,    1
  -1,   -1,    0
  -2,   -1,    2
  -1,    0,    2
  -3,   -1,    1
  -2,   -1,    1
  -2,   -1,    2
  -2,   -2,    0
  -2,   -2,    1
  -3,   -1,    2
  -2,   -1,    1
  -2,   -1,    1
  -2,   -1,    1
  -1,   -2,    2
  -3,   -2,    1
  -2,   -2,    1
  -3,   -1,    1
  -2,   -1,    1
  -2,   -1,    1
  -2,   -2,   -1
  -1,   -1,    2
  -1,   -1,    1
  -1,   -2,    2
  -1,   -1,    1
  -2,   -2,    1
  -3,   -2,    2
  -2,   -1,    0
  -1,   -1,    1
  -2,   -1,    2
  -2,   -1,    2
  -2,   -2,    0
  -2,   -1,    1
  -2,   -2,    2
  -1,   -1,    1
  -2,   -1,    1
  -2,   -1,    1
  -2,   -2,    1
  -2,    0,    1
  -2,   -1,    1
  -3,   -1,    2
  -2,   -2,    2
  -3,   -1,    1
  -2,   -1,    0
  -3,   -1,    1
  -2,    0,    0
  -2,   -1,    1
  -2,   -2,    2
  -2,   -1,    0
  -1,    0,    1
  -2,   -1,    0
  -2,   -1,    1
  -1,   -2,    2
  -2,   -1,    1
  -1,   -1,    2
  -3,   -1,    1
  -2,   -1,    1
  -2,   -2,    0
  -1,   -1,    2
  -1,   -1,    2
  -2,   -1,    1
  -1,   -2,    1
  -3,   -1,    1
  -2,    0,    2
  -2,   -1,    2
  -2,   -1,    1
  -2,   -2,    1
  -1,   -1,    1
  -2,   -1,    0
  -2,   -1,    0
  -2,   -1,    1
  -3,   -1,    1
  -2,   -2,    0
  -2,   -1,    0
  -1,   -2,    0
  -2,   -1,    1
  -4,    0,    0
  -2,   -2,    2
  -2,   -1,    1
