ax,ay,az
 -15,   73,   38
  66,   41,   22
 101,  -29,  -23
  79,   37,   11
 -77, -138, -104
  38,  -31, -121
 204,  -78,   52
  89,   80,   61
 248,  -28,  -49
-146,  124,   24
-308,  -61,  -35
  58,  148,  138
-144,  232, -123
-332, -177,  -22
 511,  374,  -19
 125, -158,   65
-512,  511, -304
 247,  118,   13
 511,  293, -103
 397,   83,  -53
  48,    6,  -47
-142, -149,  138
-257, -147,   11
 -33,  -68,  -33
 160,  -55,   -7
 147,  -69,   25
  -6,  -48,   63
 -50,  -70,  -29
 -13,  -11,    7
 -12,  -15,   -3
  -9,  -22,   -2
  -6,   35,   13
  26,   12,   37
  16,  -89,  -60
  15,   -3,   14
-105, -117,  -65
 123,  -87,  -91
  91, -114,  -15
-237,   49,  103
