ax,ay,az
  81,   20,  -25
 -56,   44,   -2
 -76,   -2,  111
 -88,   11,   68
-219,   48,   36
 178,   51,    9
 152,  -47,   53
 -38,  -19,  -13
  44,   88,  100
 189,   60,   41
-173,   13,   83
 228,  -11,   13
 144,   -6,   69
-127,  -43,  -25
 -71,  -65,   53
 107,   13,   -2
 -45,  -17,   19
  13,  -41,   24
  -2,   22, -133
 116, -191,  -60
  55,   11,    0
 108,   22,  109
 -82,  -11,   86
 -88,  -48,    4
-131,   -8,   25
 -22,   18,   76
 106,  -41,   68
 -36,  -32,  -45
 -61,  -60,  -46
  37, -137,    8
 102,  -73,  -59
-140,  -75,  -58
 -15,   68,   69
  57,   66,   22
  99,  -58,   25
 -14,    5,  135
 -31,   -1,   22
 136,  115,   -1
 -79, -204,  128
 -48, -108,   56
  37,   32,   64
  88,  -87,  137
-194,  -54,  -10
 120,  134, -128
 -62,  -34,   67
  37,   37,  -51
  39,   69,   62
  -9,   87,  -51
 -77,    2,  -50
  20,   45,   46
 -65,  -49, -101
 -74,    3,   42
  61, -108,  -71
  51,  -13,   31
 -46,   50,   52
  83,  147,  -24
  28,  -53,  -54
  86,   -9,   13
  62,  -11,  -21
 -26,   22,  -22
  -2,  -24,  -20
  75,   10,   10
  84,   39,   -3
  15,   17,   23
  14,  -37,   29
  23,   36,   28
-131,   25,   51
  -3,   78,   90
 124,   47,   40
 311,   57,   65
  25,   -6,   28
 -44,   30,  -10
-105,   56,   62
 -96,   75,  121
 -81,  -23,   17
 -19,    7,   34
-197,   59,   96
 -40,  -34,   -8
-342,   48,   47
  46, -104,  -51
-240,   73,  -22
-100,  -49,    0
 117,  -90,   28
 -19,   -7,    3
 -50,  -34,  -40
-265,   25,   -5
 -61,  -57,  -40
 -13,  -55,  -42
  97,  -11,   71
-195,  -27, -145
-274,  -15,   36
-122,   85,   22
 -26,   76,   54
 -89,   53,   25
  54,  116,   46
 -33,   40,   54
-135,   99,  -51
  35,   22,   -1
  25,   60,  -20
 -75,   67,   92
  27,   77,   14
 -99,  -33,    0
 -28,  -36, -104
  79,  -28,  -52
 -61,   10,  -67
 -47,   84,  -17
 190,   40,   82
 -89,  -92,   13
  49,  -55,  -19
  31,  -48,   45
  98,   -9,   -8
 106,  -53,  -34
  27,  -41,    0
   9,   -7,   -6
   6,    0,    4
  -3,    1,    1
  -6,    2,    2
  -5,    0,    2
  -2,   -1,    0
  -1,    1,    1
  -1,    1,    2
   0,   -1,    1
  -1,   -2,    0
  -2,   -1,    1
  -4,   -1,    1
  -2,   -1,    0
  -2,    0,    3
  -1,   -3,    0
  -1,   -1,    2
  -1,   -2,    0
   0,   -2,    2
  -4,    0,    1
  -2,   -2,    0
  -3,   -1,    1
  -3,   -1,    1
  -2,    0,    1
  -1,   -1,    1
  -1,   -1,    0
  -2,   -1,    2
  -2,   -1,    1
  -2,   -2,    1
  -3,    0,    2
  -2,    0,    0
  -2,   -2,    0
  -1,   -1,    2
  -1,   -1,    0
  -2,    0,    1
  -2,   -3,   -2
  -3,   -1,    1
  -1,   -1,    1
  -2,    1,    1
  -3,    0,    0
  -2,   -1,    0
  -3,   -2,    0
  -2,    0,    1
  -2,    0,    1
  -2,   -1,    1
  -1,   -1,    0
  -2,   -2,    1
  -3,    1,    0
  -2,   -1,    1
  -2,   -1,    1
  -2,   -1,    1
  -3,    0,    2
  -3,    0,    1
  -2,   -1,    0
  -2,    0,    0
  -3,    0,    2
  -3,   -1,    0
  -2,   -1,    0
  -2,   -1,   -1
  -1,   -1,    2
  -2,    0,    1
  -3,    0,    0
  -4,   -1,    0
  -2,    0,    1
  -2,   -2,    0
  -2,   -1,    1
  -4,   -1,    1
  -3,    0,    1
  -2,    0,    1
  -2,    0,    1
  -3,    0,    2
  -2,    1,    3
  -3,   -1,    2
  -2,    0,    0
  -3,   -1,    0
  -2,   -1,    0
  -2,    0,    0
  -3,    0,    0
  -2,   -1,    2
  -2,   -1,    0
  -4,    1,    1
  -4,    0,    1
  -3,   -1,    0
  -2,   -2,    0
  -3,    0,    0
  -3,    0,    0
  -2,   -1,    1
  -2,    0,    1
  -2,   -2,    2
  -2,   -1,   -1
  -3,    0,    1
  -2,   -1,   -1
  -3,   -1,    0
  -3,   -1,    0
  -3,   -1,    1
  -2,    1,    1
  -3,    0,    2
  -2,   -1,    0
  -3,   -1,    1
  -3,   -1,    0
  -3,    0,    1
  -3,    0,    0
  -2,    0,    1
  -2,   -2,    2
  -3,    0,    2
  -2,   -1,    2
  -1,    0,    1
  -3,   -1,    0
  -3,    0,    0
  -3,   -1,    1
  -3,   -1,    1
  -3,   -1,    0
  -2,    0,    1
  -3,    1,    1
  -2,    0,    1
  -2,   -1,    1
  -2,   -2,    0
