ax,ay,az
 -25,   -3,  -13
 -88,  -39,   10
 -59,  -73,  -31
  16,  -73,  -16
 -70,   19,  -28
  66,    7,   16
 -67,  -21,  -14
 -22,   47,  -15
 -92,  -61,    5
  30,  -27,  -38
-106, -140,  -99
  15,   87,   59
  84,   94,   25
-167,   85,   35
  51,   19,  -55
  45,   35,   25
  22,   11,   15
  12,   79,   47
-113,  -42,  -40
 -15,   19,  -22
  11,   12,    3
  49,  -18,  -64
 -86,   -4,  -25
  16,   75,   62
  21,   31,   23
  12,   25,   19
  48,    6,   26
  19,   21,   31
  -8,   16,    5
  10,   10,    8
  27,    2,   -8
   9,    7,   -1
   2,    1,    1
   0,    1,    1
   2,    3,    0
   7,    1,    1
   6,   -1,    1
   8,    7,    7
  -2,   -2,   -2
  27,   21,   18
  27,  -29,  -33
  43,  -19,  -16
  52,   -8,  -21
  28,    8,   37
 118,   54,   19
  14,   21,   -2
 228,   71,   12
  55,  -55,  -70
 -76, -123,   50
-133,  -14,   86
 263,  -20,   45
 -33,   39,  168
 -80,   31,  -30
-269,  -15,   50
-109,   65,  263
-337,   60,   42
 -59,   65,   79
  23,   40,  132
  33,   79,  118
 -63,   66,   90
-154,    8, -130
 -10,  -31,  203
 -69,  -29,  118
-396,   12,  142
  79,   -1,  -52
 144,  -57,  106
-281,   64,   12
-101,   52,   60
   8,    8,  -55
-141,   68,   50
   3,   33,   -2
-263,    7,  -26
  24,   34,   -2
-193,   61,  132
 -36,  -49,  -57
   7,   18,   23
 -36,  -10,    2
 -32,   -2,    7
 -10,    2,    0
   0,   -1,    0
   1,    4,    2
   1,    3,   -1
  -1,    1,    1
  -3,    0,    0
  -2,    0,    0
  -2,    1,    0
  -1,    2,    1
  -2,    3,    1
   0,    2,    1
  -2,    1,    1
  -1,    0,    1
  -2,    2,    1
  -1,    2,    2
  -2,    2,    0
  -1,    3,    1
  -1,    1,    1
  -2,    2,    1
  -3,    2,    2
  -2,    1,    1
  -2,    1,    0
  -2,    2,    0
  -2,    1,    1
  -1,    2,    2
   0,    2,    1
  -1,    2,    0
  -1,    2,    1
  -2,    1,    1
  -1,    1,    1
  -1,    0,    1
  -1,    1,    0
  -2,    1,    0
  -1,    2,    0
  -1,    1,    1
  -1,    1,    0
   0,    3,    1
  -1,    1,    0
  -2,    1,    0
   0,    2,    2
  -1,    0,    0
  -2,    1,    0
  -2,    2,    0
  -2,    1,    1
  -1,    1,    1
  -1,    0,    1
  -1,    1,    1
  -2,    3,    1
   0,    1,   -1
  -2,    1,    0
  -2,    1,    2
  -1,    2,    1
  -1,    2,    1
  -1,    2,    1
   0,    1,    2
  -1,    1,    2
  -1,    1,    1
  -2,    1,    1
  -2,    1,    0
  -1,    2,    1
  -1,    2,    2
  -1,    2,    1
  -1,    1,    0
  -1,    2,    0
  -1,    1,    1
  -2,    1,    1
  -2,    1,    2
  -1,    1,    2
   0,    0,    1
  -2,    2,    2
  -1,    1,    2
  -1,    1,    1
  -2,    1,    0
  -2,    2,    1
  -1,    1,    1
  -1,    1,    1
  -1,    2,   -1
  -3,    2,    1
  -1,    2,    1
  -2,    2,    0
   0,    1,    1
  -1,    0,    1
  -1,    3,    0
   0,    1,    0
  -1,    1,    1
  -1,    3,    2
  -1,    1,    1
  -1,    0,    0
  -1,    2,    1
  -1,    2,    1
  -1,    1,    1
  -2,    2,    0
  -1,    2,    1
   0,    2,    1
  -2,    1,    0
  -1,    1,    1
  -1,    1,    1
  -2,    3,    1
  -2,    2,    0
  -2,    2,    1
  -1,    2,    1
  -4,    3,    2
  -2,    0,    0
   0,    3,    1
  -2,    2,    1
   0,    0,    0
  -1,    2,    0
  -2,    2,    1
  -1,    2,    1
  -1,    1,    1
  -2,    3,    1
  -1,    2,    1
  -2,    2,    0
  -2,    2,    0
  -2,    1,    1
  -2,    2,    1
  -1,    2,    2
  -1,    1,    1
  -1,    2,    2
  -2,    2,    0
  -2,    1,    1
  -2,    2,    0
  -2,    2,    1
   0,    0,    1
  -1,    0,    1
  -2,    2,    1
  -1,    1,    1
  -1,    1,    1
  -1,    1,    1
  -1,    1,    1
  -1,    0,    1
  -2,    1,    1
  -2,    2,    1
  -2,    1,    0
  -1,    1,    1
  -1,    2,    0
  -1,    1,    0
  -1,    2,    1
   0,    1,    0
  -2,    2,    1
  -2,    1,    2
  -2,    2,    0
  -1,    1,    1
  -1,    1,    1
  -2,    2,    1
  -2,    2,    0
  -1,    1,    1
  -2,    1,    1
  -2,    2,    0
  -1,    1,    1
  -2,    2,    2
  -1,    2,    2
  -1,    2,    1
  -2,    2,    0
  -1,    2,    0
   0,    1,    0
  -1,    1,    0
  -1,    1,    0
  -2,    1,    0
