ax,ay,az
-134,  -83,   -7
  47,  -18,  -63
 -75,  -29,    2
 -84,  -54,  -84
  21,  -30,  -17
 177,   -1,   45
 -61,   -6,   89
 168,   77,   33
  15,  -22,  127
-124,   47,  -17
  11,  -38,   13
 115,   25,   17
 -48,   59,   -4
 -87,  -72,   49
 -26,  -18,   -1
  77,   92,   18
  42,   -9,  -13
  15,   23,    7
  30,  162,  150
  39,   31,   33
 -46,   33,   13
  -1,   37,   11
   1,   34,   -1
  -1,   14,    0
   5,    5,    1
  14,   11,    0
   0,   23,    7
  -6,    3,   19
 -17,   41,   33
   7,   14,  -11
 -40,   24,  -11
  35,   15,   13
  89,   65,   55
 -17,   -7,   16
 -28,  -71,  -16
  88,   73,  -21
 -99,   10,   63
  39,   30,  -80
  92,   -1,  -43
 326,  -82,  -55
 226,  -22,   58
-152,  114,   53
 208,  -29,   62
  84,  -44,  -14
 168,  -38,   79
-161,   29,   18
-249,   52,   67
 -85,  111,   10
 -81,   76,  -14
 -88,  -73,   30
 -72,   -1,   -7
 213,    6,  -31
 216,  -63,   40
-105,   15,  114
-110,  -57,   48
 -45,   26,    2
-241,  -83,    0
-145,   -7,   53
  67, -131,  -94
  56,   -1,   42
  65,    4,   32
 -78,  -70,  -39
 -13,    1,   16
  -6,   -2,    3
  -1,    1,   -1
   0,    3,    3
  -1,    3,    1
  -2,    3,    2
  -3,    1,    2
  -2,   -1,    1
  -2,    1,    0
  -2,    3,    2
  -3,   -1,    0
  -3,    2,    1
  -2,    4,    3
  -1,    2,    2
  -2,    2,    1
  -1,   -1,    0
  -1,    0,    0
  -3,    0,    1
  -2,    1,    1
  -3,    0,    1
  -1,    0,    0
  -2,    2,    0
  -2,    1,    1
  -2,    1,    2
  -2,    2,    2
  -2,    2,    2
  -1,    1,    0
  -4,    1,    0
  -2,    0,    1
  -3,    0,    0
  -1,    1,    1
  -2,    2,    0
  -3,    1,    1
  -2,    1,    0
  -2,    1,   -1
  -3,    2,    1
  -3,    2,    1
  -1,   -3,   -1
  -2,    2,    2
  -2,    2,    2
  -2,    2,    1
  -4,    0,    1
  -3,    0,    0
  -3,   -1,    0
  -2,    2,    0
  -3,    2,    1
  -2,    1,    1
  -2,    2,    2
  -3,    2,    1
  -3,    1,    0
  -2,    1,    0
  -2,    1,    0
  -2,    0,    2
  -3,    1,    2
  -2,    1,    1
  -3,    2,    1
  -3,    1,    0
  -2,    1,    0
  -3,    2,    0
  -3,    2,    2
  -3,    1,    1
  -3,    1,    1
  -5,    2,    0
  -2,    2,    1
  -3,    2,    1
  -2,    1,    2
  -3,    2,    1
  -3,    1,    0
  -2,    3,    1
  -3,    2,    1
  -4,    1,    0
  -2,    1,    0
  -4,    2,    0
  -2,    1,    1
  -2,    1,    1
  -4,    1,    1
  -3,    1,    1
  -3,    2,    0
  -3,    1,    1
  -2,    1,    0
  -3,    2,    0
  -4,    2,    1
  -4,    2,    2
  -4,    2,    0
  -3,    2,    1
  -4,    2,    2
  -4,    1,    1
  -3,    2,    1
  -4,    1,    1
  -4,    2,    0
  -3,    1,    1
  -3,    3,    0
  -2,    1,    2
  -3,    2,    1
  -3,    0,    1
  -4,    0,    2
  -4,    1,    2
  -3,    0,    1
  -3,    0,    1
  -3,    0,    1
  -3,    2,    1
  -3,    2,    0
  -4,    2,    1
  -5,    2,    1
  -3,    0,    1
  -4,    0,    0
  -3,    2,    1
  -4,    1,    1
  -4,    2,    0
  -4,   -1,    1
  -4,    2,   -1
  -4,    1,    1
  -2,    2,    2
  -5,    4,    5
  -4,   -1,    1
  -2,    2,    0
  -5,    2,    0
  -5,    0,    1
  -4,    2,    2
  -3,    2,    1
  -3,    2,    1
  -4,    2,    0
  -3,    1,    0
  -4,    2,    1
  -2,    1,    1
  -3,    1,    0
  -3,    1,    0
  -4,    2,    1
  -4,    2,    1
  -4,    1,    2
  -2,    1,    0
  -4,    2,    0
  -3,    2,    2
  -3,    2,    0
  -4,    1,    1
  -4,    1,    1
  -3,    2,    2
  -4,    2,    1
  -4,    2,   -1
  -4,    2,    1
  -4,    1,    1
  -5,    2,    2
  -3,    2,    0
  -4,    2,    1
  -4,    1,    1
 -17,    1,   -7
  -3,    1,    0
  -5,    2,    2
  -5,    3,    1
  -4,    0,    1
  -5,    2,    2
  -5,    2,    1
  -5,    2,    1
  -3,    0,    2
  -3,    3,    0
  -5,    1,    0
  -5,    2,    0
  -4,    1,    1
  -4,    1,    0
  -3,    0,    0
  -4,    1,    0
  -4,    2,    1
  -4,    2,    1
  -3,    1,    1
  -5,    1,    0
  -3,    2,    1
  -5,    0,    1
  -4,    1,    1
  -3,   -1,    0
  -4,    2,    1
  -4,    2,    1
  -5,    1,    2
