ax,ay,az
 -11,   19,  -24
  35,  131,   14
 -52,   63,   36
 -97,  -54,  -97
 -88,  122,   -7
-109,  263,   97
 112,  -25,   14
 264,  -74,    7
 255,   71,  146
  45,   17,  -88
  36,   -9,  -34
 124,  -70,  107
 137,  -17,  -91
  -1,  -96,    5
 141,  -37,  -16
-154,   35,   28
 -67,   62,   91
 -38,   33,   62
  33,  -50,   47
 -25,  -23,  -18
-166,  -59,  -59
 -91,   -7,   54
 -92, -128,   86
  -7,  -17,   -9
   3,   49,  101
  24,  -10,  -47
 -63,   73,   98
  14,   55,   20
-140,  -66, -116
 -18,   44,   22
 -68,  -28,  -26
 -18,  -67,  -12
-125,  -49,  -46
 -57,   -6,   67
  65,  -75,  -72
 -55,   -9,   47
  69,    0,   75
-182,  -17,   37
 -41,  -94,  -33
-115,  -82,   35
-361,  -53,   31
   2,  -14,   33
 -61, -128,   17
-211,   38,   38
-314,    6,  120
  82,   39,   15
-134,    7,   70
 187,  -22,   -9
 -17,   33,   16
 -37,    7,   30
 -18,   93,  101
 -28,   69,   78
 -29,   23,  -15
 -42,   48,  109
-132,  121,   15
 -11,   -8,    6
 148,    5,   -9
  61,  -49,   23
  13,   41,  -14
  15,   95,  -11
 -38,   15,  -44
-104,   80,    5
 -47,   52,   36
   4,  103,   40
 150,  112,   25
 -84,   49,   -3
 -25,  -12,  -67
  71,   89,   30
 -15,   31,    4
  85,  193, -100
  89,  115,  -33
 154,   48, -157
 -53,  -22,  -48
-109,  -23,  -33
  74, -139,   68
 201,  -74,  -39
  18,   22,   44
 231,   75,   -1
  95,   -2,   56
 -92,  -49,  168
 -38,  -31,  -30
  19,  -25,   65
  97,  -23,   80
  52,  -83,  -31
 -79,  -87,   92
   3,    6,   22
 -20,  -12,    4
  -6,   -2,    0
  -4,   -1,   -2
   3,   -2,    0
   3,    3,    1
   2,    0,    1
  -1,    0,    1
  -1,    0,    0
  -1,    0,    1
  -2,    1,    0
  -1,    1,    2
  -1,   -1,    0
   0,    0,    0
  -1,    0,    2
  -2,    2,    2
  -2,    1,    0
  -1,    0,    1
  -2,    0,    1
  -2,    0,    1
  -2,    3,    3
  -1,    1,    1
  -3,    2,    1
  -2,    0,    0
  -2,    1,    1
  -1,    1,    2
  -1,    1,    1
  -1,    1,    1
  -1,    2,    2
  -2,    1,    0
  -2,   -1,    0
  -3,    2,    2
  -2,    0,   -1
  -1,    1,    3
  -2,    1,    1
  -2,    0,    1
  -2,    1,    1
  -1,    1,    1
  -2,    0,    1
  -2,    2,    1
  -3,    1,    1
  -1,    0,    0
  -3,    1,    0
  -3,    1,    1
  -2,   -1,    1
  -2,    1,    2
  -3,    1,    1
  -2,    0,    1
  -1,    2,    0
  -1,    0,    1
  -1,    0,    0
  -2,    2,    0
  -2,    2,    1
  -2,    0,    1
  -2,    1,    1
  -2,    1,    1
  -2,    0,    1
  -2,    0,    2
  -2,    2,    1
  -2,    0,    0
  -1,    1,    0
  -1,    1,    0
  -3,    2,    1
  -1,    1,    1
  -4,    2,    1
  -3,    2,    0
  -2,    2,    2
  -2,    0,    0
  -3,    2,    1
  -3,    2,    1
  -3,    1,    0
  -2,    1,    1
  -3,    1,   -1
  -3,    2,    1
  -2,    0,    1
  -3,    0,    2
  -1,    1,    1
  -2,    0,    0
  -3,    1,    1
  -2,    2,    0
  -3,    1,    1
  -2,    2,    0
  -3,    1,    1
  -2,    1,    1
  -2,    1,    1
  -1,    2,    0
  -2,    1,    2
  -4,    2,    0
  -3,    3,    1
  -1,    2,    1
  -2,    1,    0
  -4,    2,    1
  -2,    1,    0
  -2,    0,   -1
  -2,    1,    1
  -2,    1,    1
  -3,    2,    1
  -3,    1,    0
  -2,    2,    1
  -2,    1,    1
  -3,    1,    1
  -3,    0,    1
  -3,    2,    0
  -3,    0,    1
  -3,    1,    0
  -3,    2,    0
  -2,    4,    1
  -2,    1,    1
  -2,    0,    1
  -2,    1,    1
  -3,    2,    1
  -3,    1,    1
  -1,    0,    1
  -3,    2,    0
  -2,    1,    2
  -3,    1,    1
  -2,    1,    1
  -2,    1,    1
  -3,    2,    0
  -2,    1,    1
  -3,    1,    1
  -2,    1,    0
  -2,    1,    1
  -3,    2,    0
  -3,    3,    1
  -3,    2,    1
  -2,    0,    1
  -3,    2,    3
  -4,    1,    2
  -1,    2,    1
  -1,    1,    0
  -1,    2,    2
  -3,    2,    2
  -2,    2,    1
  -2,    1,    1
  -3,    1,    2
  -1,    2,    1
  -2,    0,    1
  -2,    1,    1
  -2,    1,    0
  -2,    2,    1
  -3,    1,   -1
  -3,    2,    1
  -2,    2,    1
  -2,    2,    2
  -2,    1,    0
  -3,    2,    1
  -3,    2,    0
  -1,    0,   -1
  -2,   -1,    1
  -2,    0,    1
  -3,    2,    0
