ax,ay,az
  48,   13,   22
  20,  -20,   30
 -24,   89,   98
  57,   -3,  -23
  26,   -6,   54
  87,  -61,  -47
 119,  -25,   36
 -92,  -32,   33
  67,   68,   70
 -64,  -15,   91
 103,  102,   75
 -28,  -46,    5
  67,   -4,  100
  -1,   48,    8
 -32,  139,  107
  79,    0,  -29
  88,   36,   29
   9,   30,   58
  -6,  -50, -109
-153,  -31,  -21
  88,  125,   34
 -71,  -44,  -19
  95,  -19,  -11
  56,   35,   74
  38,  -26,  -32
 120,   44,    3
  50,  -25,   -7
 191,   38,   -4
-103,   58,   47
  29,   56,   43
 -17,   29,   54
 -20,   25,   -3
 -18,   83,  -77
 163,   10,   54
 188,   41,  -53
 -87,   50,   32
-225,   58,   17
  62,  -27,   54
-230,   -5,   29
 164,  -83,  101
  20,  -77,  -20
   8,  -47,   -6
 -94,  -11,   60
 -29, -111,  -40
 -46, -102,   59
 -12, -168,  -38
  25,  -65,   15
 -29,  -48,    4
 -26,  -37,    1
   5,    2,  -11
 -27,    2,   22
 -42,   -1,   51
-156,  -76,  -10
 -73, -102,  -67
 167,  -48,  -11
 108,   67,   88
 -62,  -16,   32
  -2,   79,   41
 -33,  -88,    0
  27,    8,   40
   3,  -21,   74
 318,   50,   -7
 -39,   21,   56
 -27,  111,   28
  15,    6,  -20
-133,  -49,   50
  58,   28,   -3
 175,   17, -110
  63,   35,   34
 211, -185,  -85
 -76,   55,   44
 115,   71,   26
  99,   61,   30
-102,   27,   19
 -41,   75,  -17
 -34,  -14,  -40
 -60,   67,  109
 -38,   -6,   10
 204,   92,   52
  71,   83,   24
-113,   36,  -13
 -19,   87,   20
 -60,    4,    8
   8,   64,   66
 -16,  133,    9
 -19,   75,   65
 -14,   14,   67
  32,   25,    2
-122,  -47,   -4
-258,   29,  -97
 -26,    2,   23
 -27,   49,   37
-126,  -39,  -29
  45,  -34,   40
  56,   65,   72
   9,  -29,   77
  57, -121,   -8
  29,  -57,  -13
  86,   59,   25
 -56,    7,   25
 -37,  -99,  -24
  17,  -31,  -10
  18,   -3,   -1
   6,   -2,   -2
   5,    0,    1
   2,    2,    2
 -13,   -5,   -4
  -8,   -1,    0
  -3,    1,    2
  -1,   -1,    0
  -1,   -2,   -1
  -1,   -2,    0
  -1,   -1,    1
   1,    0,   -1
   0,    1,    2
  -2,    1,    1
  -5,    0,    2
  -4,    0,    1
  -2,    0,    1
  -1,    0,    0
  -1,   -1,    0
  -3,   -1,    1
  -3,    0,    2
  -2,    0,    0
  -4,    1,    3
  -3,    1,    2
  -1,    0,    1
  -2,   -1,    2
  -2,   -2,    0
  -3,    1,    1
  -3,    0,    0
  -3,    0,    2
  -2,    1,    4
  -2,   -1,    1
  -3,    0,    1
  -2,    0,    1
  -2,   -2,    0
  -3,    0,    1
  -1,    0,    1
  -2,   -1,    0
  -5,    4,    4
  -2,    0,    1
  -3,    1,    2
  -3,    0,    1
  -2,   -1,    1
  -1,    0,    0
  -2,    0,    1
  -2,    0,    0
  -3,    0,    0
  -4,   -1,    0
  -2,   -1,    1
  -4,    0,    0
  -2,    0,    0
  -3,    0,    0
  -2,   -2,    0
  -1,   -1,    1
  -3,    0,    2
  -3,    0,    0
  -3,    1,    1
  -2,    0,    1
  -3,    0,    1
  -2,    0,    1
  -3,    0,    2
  -4,    1,    2
  -4,    0,    1
  -3,    0,    0
  -4,    1,    1
  -3,   -1,    1
  -2,   -1,    0
  -2,    0,    2
  -2,    0,    1
  -2,    0,    1
  -3,    0,    1
  -2,   -1,    0
  -3,    0,    0
  -4,    0,    1
  -3,    1,    1
  -3,    1,    0
  -2,   -1,    0
  -3,    0,   -1
  -3,   -1,    0
  -2,    0,    1
  -2,   -1,    1
  -4,    1,    0
  -3,    1,    1
  -3,    0,    1
  -5,    1,    2
  -3,   -1,    1
  -4,    0,    1
  -3,   -1,    2
  -3,   -1,    1
  -4,    0,    1
  -3,   -1,    1
  -2,    0,    1
  -2,   -1,    0
  -3,    0,    1
  -3,    0,    0
  -3,   -1,    1
  -3,    0,    1
  -4,    1,    0
  -3,    0,    1
  -4,   -1,    1
  -4,   -1,    1
  -4,   -1,    1
  -3,    0,    1
  -4,    1,    2
  -5,    0,    1
  -2,    0,    0
  -3,   -1,    0
  -6,    4,    7
  -2,    0,    2
  -4,   -3,   -2
  -4,   -1,    1
  -1,   -4,   -3
  -3,    0,    1
  -3,    0,   -1
  -3,    1,    2
  -4,    0,    1
  -3,    0,   -1
  -3,   -1,    1
  -3,    0,    1
  -3,    0,    1
  -3,    0,    1
  -3,    0,    1
  -3,    0,    1
  -3,    0,    0
  -2,    0,    0
  -1,   -1,    0
  -3,    0,    1
  -4,   -1,    1
  -3,    0,    2
  -3,   -1,    1
