ax,ay,az
  38,   91,   74
  38,   15,  -61
  48,   74,   83
  61,   36,  -65
-171,  131,  112
 -28,    2,   14
 130,  -45,  -21
  46,    7,  -60
  51,  -58,   35
-199,    0,  116
 103,  -76,  -77
   9,  -70, -118
 166,  -32,  -38
-160,   20,   33
 -26,  -68,    9
-144,   -4,  -20
-175,   98,  -58
   6,    1,   57
-172,  -17,  -35
  -5,  -72,  -75
-226,  -70,  -43
 -25,    5,  103
  94,   44,   78
-110,   21,   96
 124,  -60,  -63
 -18,   -1,    1
  40,  -95,  -33
 -26,    1,   73
 -11,   51,   43
 178,   36,   64
  28,  -10,   11
  65,  -77,  -13
-103,  -73, -106
-124,  -47,  -26
 -33,   42,   75
 -84,    7,   45
 -11,  -62,  -75
 -54,    4,   29
  46,  -29,   31
  99,  -96,   45
 143,  -44, -196
 -51,    5, -102
-178,   44,  113
-219,   14,  115
 -17,   90,   95
  48,   18,  -31
-142,  -86,   24
  86,   22,  110
  90,  -71,  -92
 -38,  -12,   27
 109,  -31,   91
  98,  -16,   -7
  27,  -14,  173
  59,   57,   -7
 -76,  -12,  -31
-319,  -37,  -28
 151,   18,   43
  12,    6,  -84
-100,  -82,  -53
  52,   15,   29
-203,   18,  117
 -37,   -3,   -4
-129,   25,   72
  -3,  -76, -107
  43,   -5,   11
 -11,    2,  -24
 -74,   22,  -33
-319,   49,   12
 -53,   24,   45
-101,  195,  187
  29,   61,   91
 -17,  -48, -250
 -81,   26,  -31
  54,   93,   30
-217,    8,   45
-125,  203,  178
 -96,  -55,  115
  98,   59,   -4
 207,    2,   89
-154,  -50,  112
-102,  -13,   79
-375,   98,  106
-105,  146,  181
  -4,  -44,   65
 450, -122,   -4
-322,   -6,   73
 -26,  -54,  138
  63, -172,  179
-283, -110, -125
-491, -217,   35
-250, -140,   54
 -76, -111,   37
  -9,   -9,  338
 111,  120,   98
 145,  -79,  -92
  81,  -28,   29
 139,  -98,  111
 112,   25,   72
-142,  -55,  -78
 205, -159,  151
 -59,   -8,    3
 -82,   18,   36
 231,  -65,   86
  97,  -23,  -73
 -60,   -5,   18
 141,   40,   95
   2,    4,  -36
 290,   39,  219
  41,  115,  229
  61,  157,  127
 112,   26,   19
-186,  -91,   17
 -59, -111,  180
-129,  210,   79
  -6,  -41,  120
  14, -227,   17
-150,  -54,  136
 127,    1,   63
 281, -148,   25
 256,   24,  -79
 -71,   31,   17
-308,  -89,  187
 229,  -30,   89
-123,  -76,  207
  68,    9,   -8
 189,  -37,   12
-430,   33,  -52
