ax,ay,az
 -22,   40,  -13
  68,   69,   31
 -71,  220,  167
  22,  -53,   -1
  41,  -33,  -85
  68,   52,   68
  87,   22,   91
-155,   79,   52
-159,   41,   16
-123,  -67,  -37
  76,  -33,    4
 -23,  -76,   99
-145,  -82,  -51
 168,  -78,   23
 -33,  -48,  -44
  -5,  -20,   18
  42,  -64,  -21
 -15,  -25,  -18
   3,  -26,   38
  -3,   -9,   -1
  -4,   -2,    3
  -1,   -2,    0
   1,   -1,    2
   1,   -1,    1
   7,    0,    0
  11,   -2,    0
  -3,  -17,  -12
  19,   13,    6
   8,   15,   22
   3,    0,   10
  28,   -5,   15
 -29,  -44,  -63
  41,  -59,  -52
  31,   50,  -17
 -59,    2,  -34
 -81,  114,  101
-143,  -52,  -24
  95,   63,   67
 205,   30,   56
-100,   63,   56
 124,   67,  100
  16, -147,    4
   3,  -57,   42
-115, -123,   17
-158, -103,  -83
  46,  -57,   21
-191,  -83,   32
  21,  127,  196
 -64,   73,  127
 -59,    0,   47
-156,  -65,   -6
 -27,   27,   60
 -63,  -24,   -4
 -14,   -3,    8
  -6,   -5,    3
  13,  -14,    8
  15,  -52,  -10
 -46,  -65,  -19
 -78, -115,  -44
 -97,  -96,  -13
 -30, -200,  -87
 -46,  -78,  110
-191,  -20,   46
 -30,  -54,    7
  35,   64,   72
 -22,  -72,    7
-274,  -35,   24
 120,  -39,   58
 -33,  -69,  -69
  87,  -95,    9
-201,   85,    7
-105,   57,   62
 242,   42,   51
  52,  -24,   25
 -26,  -92,   98
 -40,   44,  -24
-147,  -46,    9
   4, -154,  -70
 153,  -63,  -95
 -90,   37,  -37
  70,   25,   24
 -53,   47,   44
  11,  172,  134
  -5,  120,  267
 -40,  140,  177
 -11,    7,   55
  49,   22,   26
  -7,   71,  -10
 -98,  -21,  -66
 -29,   79,   29
 200,  -28,  -41
 -40,  172,  147
  81,   39,  -13
 167,  -97, -105
-108,  -16,   21
 -20, -106,  -67
-213,   71,   35
 -89,  -37,  -22
 153,  115,  174
 257,   47,  -64
-305, -156,   62
-227,  -46,  -49
-512,   57,  -98
 -11,  -68,  -40
-141,   49,   98
 -46,  -91,  -39
-115,  -40,  133
   2,   99,  100
  83, -128, -156
  49,   15,   98
 -11,  -31,   72
  18,   34,  117
 -25,  -78,   99
  98,    2,   38
 -56,   32,   54
 -44,  -30,   -5
  11,  -27,   -9
   4,    7,   22
  28,    6,    6
  14,    6,    8
  -1,    1,    1
   0,   -3,    1
   0,   -1,    0
  -2,   -2,    0
  -4,   -2,    0
  -3,    0,    1
  -1,   -2,    1
