ax,ay,az
 116,  120,   93
  44,   35,  -21
 136,  154,  264
  51,   27,   11
 -55,  -80,    9
-270,  -45,  -45
  90,   40,  -45
   2,   85,  -18
-380,   50,  -82
 -64, -131,  -57
 219,   90,   89
-245,   40,   -1
-158,    2,  159
 307,   44,  180
-293,  113,  -90
  24,   66, -132
 214,  -69,  127
  43,  -68,  132
 -59,  -85,   35
 -56,  -16,    1
 348,  -98,   57
-244,   69,   56
-417, -131,   75
-167,   -7,  168
 -96,  -83,  -46
-175,  -53,  -57
-123, -106,  -23
 -28,  -49,  -19
 -26,   -2,  -11
 -16,  -16,    6
 -39,  -35,   20
 -21,  -33,  -15
  15, -118,  -36
 -30,  -39,  -29
   8, -224,  -67
-149, -199, -146
 125,  -64,  117
  78,    7,  -67
 -86,   -8,  -70
  14,  -31,   23
 202,   15,  103
 365,  -52,  -40
-188,   -7,   79
 308,  -53,  -25
 349,  -69,   42
-371,   -8,   55
 -70,  -52,   34
 215,  -69,   54
 -37,  147,   50
-179,  241,   49
-255,  142,    3
-132,  105,   10
  94,   62,   69
  55,  109,  -45
  84,   28,  -60
 -77,  238,   68
  19,   89,  112
  12,  288,   -1
  -5,   38,   -5
  11,   15,   -5
  17,   20,   17
  -3,  -50,  -30
 -48,   65,   41
 152,   17,  -25
  -6,   -7,  -88
-239,  106,  104
  11,    2,  -34
 -63,   55,  138
 -77,   88,  -29
 143,   10,  106
 -62,   55,   20
 -75,   33, -112
  36,  -11,   70
-173,  104,  -18
-415,   52,   20
-100,  -15,  108
 110, -134,  -24
-167,   46,   -7
-200,  -74,  114
 162,   39,   89
  30,  -68,  -36
  53,   26,   37
  52,  -14,  -89
   1,   49,  159
 -51,   35,   12
  79, -104,    3
-117,    1,   73
-143,  -10,    2
  16,  -70,  -44
  81,   28,  -56
-134,   26,   58
 222,    3,  -38
 296,   52,   -2
-248,   -4,   31
  43,    6,    6
  20,  -19,  -11
  78,   20,  -16
  61,   46,  -13
  -4,  -14,  -20
  97,   -5,   20
  65,   81,  -27
   7,   84,   13
  87, -122, -118
 238,   93, -110
   6,  -51,  -48
-178,   -5,   92
   4,  -13,  101
  23,  -88,  -32
-173,   -2,  131
  51,   39,  107
-132,  -83,  -98
-243,  130,   50
 -97,  -47,   28
 319, -203,   31
 -56, -120,   19
 108,   34,  -25
  72,   68,   42
 -43, -123,    3
 -88,  -26,  151
 -29,   -4,  103
 -96,  -57,  -41
-222,   28,  -93
 -29, -111,  -96
 -50, -117, -110
-117,   46,   -4
 -44,  -16,   -3
 -28,   -1,    4
