ax,ay,az
  10,   12,   29
-135,   84,   34
 -27,   28, -100
 248,  -31,  -76
-121,  -99,  -88
 -90,  -32,  -59
-100,   78,  -46
 240,   25,   37
  69,  -60,   78
 -35,   30,  -23
   3,  -69,   23
-121,   95,    6
 -16,   72,   99
 138,  -45,  -34
  56, -110,   58
 140, -227,   50
-227,  -79,  -69
 117,   19,   31
-105, -117,  108
 -17,   11,   -3
  24,  -32,   25
   9,   37,   33
  -6,   74,  -83
 172,  -58,   33
 -82,  -11,   97
 144, -100,  -26
 178, -165,   41
  99,   14,   31
 -73,   53,  -45
-289,  -40,   50
  49,  -11,  -24
-310,   60,  -71
  75,  -43,  108
 -51,   26,   10
  80,   30,   58
 -50,  -38,    6
  14,  -49,   -6
  42,  -70,   12
-124,  -70,   25
-127,  -50,   68
 -75,   16,  -34
 110,   59,  -38
 110,  -75,   44
 119,  111,  -52
 178,  179,  -55
-171,  155,  -48
 -49,   93,  -47
-143,  107,   67
 -29,   53,   20
 114,   41,  -18
  13,   42,   48
 102,    7,  -39
  78,  -36,  -40
  -4,  -40,   35
 240,   40,   24
 212,   77,  -17
  40,   12,  -23
 -17,    5,   38
 138,   35,   -3
 106,   10,    9
  83,  -22,  -10
  85,   34,    3
  76,   48,   10
  55,   46,   38
  88,   91,   34
 -69,   -5,   17
 -24,  -46,   37
 109,   74,   22
  67,  -12,  -31
 111,   37,  -18
 -91,   -3,   91
 -67,  -29,   47
 -39,  -44,  -46
 -87,   36,   61
  -1,  -45,   91
  79,   27,  -16
 217,  -38,   -7
-229,   78,  -43
  -2,   14,   20
 -38,  -17,   35
 -76,    5, -103
 224,  -85,  -50
  89,  -21,   44
 -87,    4,  -40
-229,   76,    0
 -68,   10,  -25
-138,   97,   72
  53,  -20,  -49
  12,  -10,  -61
  11,   22,    3
-126, -134,  -57
-142,  -22,    4
-176,    6,   13
 -33,   76,  -36
  -4,    4,   69
-117,    8,   46
-156,  175,   72
  79,   16,   69
  -2,  -45,   68
-108,   88,  119
 159,  -12,  -43
-107,  -56,  -31
-122,  -15,  -16
 -88,  -51,   19
 -86, -130,  -43
  14,  -19,   23
  56,  -41,  -46
   0,   -3,    5
  27,  -21,   39
 -19,  -16,   -5
   5,  -13,   -3
  20,    2,   -4
  21,    5,    2
   8,    0,   -3
   0,    1,    1
  -5,    2,    2
  -6,   -2,   -2
  -6,   -2,    1
  -3,   -1,    2
  -4,    0,    1
  -2,   -1,    1
  -3,    0,    0
  -3,    0,    2
  -4,    0,   -1
  -5,    1,    2
  -4,    0,    1
  -3,   -1,    0
