ax,ay,az
  45,   -8,   54
 -37, -186, -198
  12,  -94,  -29
 -62,  -25,  -10
  74,   10,    8
-141,  -79, -112
 -58,  -46,   98
  47,   85,   60
-512, -314, -216
 -78,  -21,  104
 129,  -18,   23
 -89,   97,   41
 -15,  -32,   -9
-142,   97,   61
 104,  138,   -5
 129, -112, -100
  98,  149,   89
  16,   49,   63
  26,   83,   80
  83,   88,   77
  11,   27,  -25
  -3,   10,    8
  16,   12,    8
  34,   -3,    4
  14,   -9,   -3
   5,    4,    4
   2,    4,    0
   0,    2,    2
  -1,    1,    2
   4,   -1,    2
  -6,   13,    9
   7,  -14,  -13
  11,   12,    9
   2,  -30,  -49
 -46,   -8,   36
 106,    3,  -25
   3,  -67,  -64
   4,  -40,  -84
  14, -123,  -99
  44,  -20,  -18
 -91,   43,  104
 413,   36,    6
 148,  152,    1
-105,  -65,  -70
 148,   -1,   48
 147,   59,  180
  47,   61, -155
  32,   25,   40
 223,   84,  163
  42,   54,   45
 511, -200,  -70
 165,  -37,  161
  60,   -8, -140
-129,   44,   74
  36,  116,  121
 219,  165,   71
-512, -270, -279
  71,  -87,  -36
 -55,   54,  157
 -99,  -82,  -15
  93,  128,   23
 -84,  -29,   60
-138,   18,   66
 -49,   12,   47
  37,   -8,  -16
 -21,   16,   38
 -30,  -25,   -6
  -5,    4,    6
  -1,   -2,   -2
   3,    3,    3
  -1,    3,    0
   0,    2,    3
   0,    0,    1
  -3,   -2,   -1
  -2,    2,    3
  -1,    3,    1
  -2,    1,    1
  -1,    1,    0
   0,    1,    1
  -1,    2,    2
  -1,    1,    3
   0,    2,    0
  -2,    2,    2
   1,    1,    2
  -1,    0,    1
  -1,    2,    1
  -2,    0,    0
   0,    1,    0
  -4,    1,    0
   3,    1,    1
   1,    2,    4
  -9,   -1,    1
  -1,    2,    2
  -2,    1,    1
  -2,    0,    2
  -1,    2,    1
  -6,    1,   -1
   0,    1,    1
  -1,    1,    2
   0,   -1,    0
  -3,    2,    2
   1,    2,    2
   2,    2,    1
  -2,    1,    1
  -1,    2,    2
  -2,    3,    2
  -3,    1,    1
  -3,    3,    1
  -2,    1,    2
  -1,    1,    0
  -2,    1,    1
  -3,    1,    0
  -2,    1,    0
  -2,    2,    1
  -1,    0,    1
  -1,    1,    1
   0,    1,    1
  -3,    1,    1
  -1,    2,    1
  -1,    2,    1
  -2,    2,    2
  -2,    1,    1
  -2,    2,    1
  -2,    1,    1
  -2,    2,    1
  -2,    1,    1
  -2,    1,    1
