ax,ay,az
-104,  -51,    2
 -90,  -72,   -9
 -91,   63,   91
  50,  175,  331
  87,   45,  -29
 -37,   21,   34
 -38,   78, -165
  93,   65,  219
 142,   84,   29
-136,  -20,   87
-160,  127,   79
 -96,   87,  105
-170,   16,   41
-154,  -66,  152
 219,   47,  196
 -21,  -51,  155
-163,   79,  152
 179,   -4,   60
 -58,  -61,   -8
  11,  133,  176
 118,   84,   74
 103,  -59,  -32
  36,  160,   69
  52,   31,  -23
 -59,   11,  -68
  28,   57,   30
   8,  -11,  -19
   7,   12,    6
  -6,    2,   -5
   3,    2,   -1
   5,   13,    4
 -13,   -2,   -9
   4,  -11,  -17
 -30,  -20,   -7
  70,   44,   39
  97,  -42,  -69
  80,    3,  -50
  85,   75,   62
 128,    2,  -57
  85,   64,  -31
 191,   59,  -32
 149,   42,  -64
-140,  -50, -153
 -84, -104,   51
-178,  -43,  -27
 110,  -45,   43
-373,  164,   91
  29,  -45,  121
 -65,   28,  120
 408, -163,   38
 -92,  137,  -65
 -45,   49,  195
 -15,  146,  172
  69, -113,  222
 133,  -21,  -52
 115,   82,  -42
 -53,  -81,  113
  43,   93,  -43
 184,   43,  124
-308,  -11,  241
-115,   29,  120
-142,  -16,   98
  -6,   23,   62
 -48,  -47,  -53
 -45,  -13,    8
  34,    9,   35
 -38,  -16,   -3
 -29,  -15,    8
 -20,   -4,    0
   8,   -4,    2
   0,    0,    1
   2,    5,    1
   0,    1,    0
  -2,    0,    0
  -2,    0,    0
  -9,    2,    2
  -1,    1,    0
   0,    0,    2
   0,    0,    0
   0,    0,    1
  -2,    0,    1
  -1,    2,    2
   2,    2,    1
  -3,    0,    1
  -1,   -1,    0
  -3,    2,    2
  -4,    1,    0
  -1,    1,    1
  -1,    0,    0
  -2,    1,    3
  -2,    1,    1
  -2,    0,    2
  -1,    0,    1
  -3,    1,    1
  -2,    1,    1
  -2,    0,    1
   0,    0,    1
   0,    0,    2
  -1,    0,    1
  -1,    1,    1
  -2,    0,    1
  -3,    1,    1
  -1,    0,    0
  -1,    1,    1
  -2,    2,    0
  -1,    0,    1
  -3,    1,    0
  -2,    0,    1
  -2,    0,    1
  -3,    0,    2
  -2,    0,    1
  -2,    0,    1
  -2,    0,    2
  -3,    0,    1
  -1,    2,    1
  -2,    1,    0
  -2,    1,    1
  -2,    1,    0
  -2,    2,    2
  -2,    1,    0
  -2,   -1,    1
  -2,    0,    1
  -2,    1,    0
  -1,    1,    1
  -1,    0,    1
  -3,    0,    2
  -2,    0,    2
