ax,ay,az
  88,   99,   60
-144,  158,  206
 123,   59,   17
  16, -139,  -32
 -86,  135,   63
  13, -136,    7
 476, -512, -503
-201,   69,   63
 -30, -122,  -29
 -45,  158,  166
  20,  -44,   53
-267,   64,  -16
-314,   46,  120
  75,   94,  122
  -2,  145,   11
 117,  -24,  132
 267,  155,  138
 112, -111,   26
 136,   -2,  113
  38,   83,  -79
 223,  -80,   11
 325,  -20,  -83
 120,   14,  -33
  67,   70,  -72
 -80,  -48,   43
 200,  -79,   73
 -20,  -87,  163
  57, -190,  -79
 110,  -53,   42
  22,  -92,  195
-310,  -36,   27
 -12, -232, -200
  12, -281,  -33
-158,  -76,  195
 109,  -46,   34
-197,  148,   12
  -8, -109,  -12
-118,   75, -108
-187,  -75,    7
-213,    7,   54
-512, -126,   79
-181,    1,  181
-509, -454,   27
 -15,    8,  120
 -45, -392,    6
-107,  139,   55
  72,   17,    8
  -3,   70,   -8
-175,  165,  162
 254, -188,  -11
  22,   16,  173
-404,  -18,   32
  -3,   80,   76
-196,  -35,  -19
-110,  -30,   40
  89,  131,  126
 248,    2,   82
 148,   36,  -18
 -62,   -7,  -57
 -21,  103,  167
 209,   20,    2
-153,   -6,   33
 197,   98,  125
 264,   -3,  178
 -88,  -39,   43
 -81,  -36,   54
  -2,   96,   -8
 209,  -35,   -5
-182,  -84,   77
 100,  -62,  -11
 206,   38,   35
  -8,  -15,   72
 109,   42,  125
 -58, -141, -111
  31, -100,  -48
  21,  -35,    8
 -15,  -49,   12
 -20,  -11,   -1
  -1,    1,    3
  -2,   -3,    0
   5,    0,    0
   2,    1,    0
   1,    1,    1
   0,    0,    0
  -1,    0,    1
  -1,   -1,    1
  -2,   -1,    0
  -2,    0,    1
  -2,   -1,    1
  -1,   -1,    2
  -6,    0,    0
   2,    2,    4
  -2,    0,    2
   2,    0,    1
  -1,    0,    1
  -1,   -1,    1
   0,    0,    1
  -1,    2,    1
  -1,    0,    1
  -2,    1,    0
   0,    0,    1
  -1,    2,    1
  -2,    0,    0
  -1,    0,    1
  -1,    0,    1
   0,    1,    1
  -2,    1,    2
  -1,    1,    2
  -1,   -1,    2
  -1,   -1,    2
  -1,    1,    1
  -1,    1,    2
  -1,    1,    2
   1,   -2,    2
  -2,    0,    3
   2,    0,    1
  -1,   -1,    1
   0,   -1,    2
  -1,    0,    1
  -1,    1,    1
  -1,    0,    1
  -1,    2,    0
   1,    1,    1
   0,    0,    1
  -1,   -1,    2
  -2,    0,    1
   0,   -1,    1
