ax,ay,az
  -6,  -38,   18
 -86,  -18,   38
 -27,  -38,   34
-103, -102,    6
-134,   -8,  -11
  -5,  -35,   62
 161,    6,   -6
 -84,  -47,   58
 282,   31,  -19
  53,  -10,   32
 244,  -60,  -21
-116,   37,   43
 107,   50,  -59
 222,   80,    0
 -97,  -73,  -59
-207,   83,  -46
 126,   -3,   22
-145,   23,   54
 507,   50,   -1
 -72,  -29,  -40
  70,  -12,    2
 -53,   -5,  -47
 179,   42,  -63
  56,  117,  -52
 -57,   97,    5
 232,   74,   29
 -13,   46,  -16
  86,   15,   14
 -80,   53,  -14
 -37,  170,   10
-117,  -22,   72
  43,   -7,   39
-110,  118,   40
 -72,   29,  -38
   5,   30,   58
 176,   27,   -2
-121,   28,  -27
 -71, -159,  -30
 145, -122,   10
-118, -113,   -6
 -12,  -42,   29
 -50,  -68,   -9
  -7,  -10,   -2
 -10,   -7,   64
   3,  -33,  -11
-163,  -16,   34
  14,  -24,  -50
  76,  -41,  -16
 -32,  -19,    8
  74,  -33,  -30
 166,  -66,   75
 214,  -92,   46
-101,  -55,  -48
 166,   39,  -31
  43,   -6,  -21
 233,   31,  -10
  -9,  -65,  -54
 -93,   26,   84
 139,   62,  -44
 -98,  -21,   -5
 142,    1,  -13
-135,   12,  -13
  43,  -18,   18
 -33,  -68,   33
-134,  -34,  -10
 -30,   -4,  -43
-138,    6,    9
  51,  113,   -9
 -62,   50,    2
  59,   47,   -5
 -93,   19,  -22
  -5,   69,   -6
-134,   89,   49
 -46,  -31,   -9
 108,  -36,   30
 -37,  -31,   28
 155,   36,  -15
-367,   50,  -30
 189,  -18,  -12
 -58,  -22,  -37
-147,   15,  -17
 155,  -48,   14
 163,   41,    4
  34,   67,   29
  83,  -32,    0
  44,  -48,   19
 -78,  -27,    2
 268,  -60,  -35
-176,  -33,  -10
 269, -106, -103
 -76,  -60,  -21
 136, -120,    7
  96,  -87,   22
  39,    1,   33
   4,  -30,    1
   0,  -19,   13
   1,    4,   20
   6,   -5,   -5
  13,    1,    3
   2,    0,    0
  -5,    1,    0
  -6,    1,    0
  -5,    0,    1
   2,   -1,   -1
   1,   -2,    0
  -3,   -1,   -1
  -2,   -1,    0
  -1,   -1,    0
  -2,    1,    1
   0,    2,    3
  -2,   -3,   -3
  -3,   -3,   -3
  -2,    3,    4
  -5,    0,    0
  -4,    1,    0
  -3,    0,    0
  -3,   -1,   -1
  -1,   -2,   -1
  -1,   -2,    0
  -2,    0,    1
  -2,   -1,   -1
  -3,    0,    0
  -4,   -1,    0
  -3,    0,    1
  -2,    0,    0
  -2,   -1,    0
  -1,   -1,    0
