ax,ay,az
 -52,    3,   21
  98,  -40,  -27
 -23,  -36,   65
 255,  -78,  -85
  76,   79,  184
 160,   -2, -145
  65,   -8,  -44
  86,  -48,  -45
 -83,  -23,   30
   4, -116,   15
   5,  -33,   25
  51,    1,  -53
 -43,   71,   48
-116,   10,   32
 -32,    2,   15
  45,  -27,  -26
-182,  -77,   37
 -50,   30,   58
 -84,  -68,  -15
 168,   34,   30
  53,    0,   34
  34,  -32,  -99
 -37,  104,   48
  76,   99,   30
 183,   67,   -1
  67,   26,   29
  71,   39,  -27
  23,   42,   18
 247,   18,  -14
  73,  -15,   54
 282,   61,    0
 -88,   69,  -15
  42,    3,   41
 -44,   92,   93
 -59,   93, -121
-489,  -32,   25
-482,   88,  -54
 147,  208,  -33
 -53,   71,  -25
 -55,  113,    8
 131,  114,   31
-119,   75,   23
-420,  -12,   15
 -53,  -76,   34
 178,   43,  -43
 -93,    5,   89
-254,   20,  -82
-512,  135,   33
 -86,  -38,   18
 211, -141,   16
  55,   17,   83
 112,   41,   57
  24,    7,  -24
 -90,  -45,   69
 -30,  -83,  -38
-116,  -82,  -47
 -67,  -83,   33
  -2,  -20,    4
  -6,   -7,    1
 -12,  -28,   -5
  12,  -50,    4
  34,  -78,  -30
 -84, -129,   17
-146,  -53,   48
-140,  -14,   84
  75, -120,  -17
  31,   -2,   -4
  28,  -47,  149
 -72,  -35,   70
 333,   39,   -2
  63,   63,   44
 -55,   19,  -29
 131,  -84,   -7
 -30,   48,   23
-134,   19,   88
  92,   -8,   80
  54,  -76,   67
 -78,    4,   68
 349,  -17,   54
  97,   15,   92
  96,   26,  -13
  70,  -10,   63
-281,   71,   89
  74,   47,   51
 160,   -6,  -91
  65,   62,  -24
   2,   83,   20
  -9,   18,   -6
   5,    9,   -4
   6,    0,    0
  -1,    1,    2
  -2,    1,    1
  -2,    1,    1
  -3,    2,    0
   0,    1,    2
   0,    4,    2
  -1,    2,    3
   4,    6,    4
   1,   -1,   -2
   0,    3,    1
  -1,    1,    0
  -2,    2,    1
  -1,    0,    1
  -1,    2,    1
   0,    3,    0
  -1,    2,    1
  -2,    1,    0
  -3,    1,    0
  -3,    1,    2
  -2,    2,    2
  -3,    0,    1
  -3,    0,    0
  -3,    1,    0
  -1,    3,    1
   2,    0,    0
   3,    4,    3
  -1,   -1,    1
  -1,    1,    0
  -1,    2,    1
  -3,    2,    0
  -3,    2,    1
  -2,    2,    1
  -2,    3,    1
  -1,    0,    1
  -1,    1,    0
  -2,    2,    1
  -1,    1,    0
