ax,ay,az
  35,  108,   10
 -20,   11,  -83
 121,  143,   31
-139,   30,  -28
 139,   79,  -85
  95,   21,  -97
 -18,  -26,   79
-125, -118,  -88
-164,  -46,    1
  13,  -67,   54
  71,   76,   19
 173, -131,  175
 189,  -45,  -65
-161,  -54,   51
  88,    5,  106
 108,  -23,    5
  18,   15,  -75
  33, -114,   27
 -40,   80,   -2
 288,  104,   14
  77,   15,   32
-285,  -77,  -19
 201,  -91,   73
-278,   42,   12
 176,  -33,   10
-213,  -43,  -27
 -44,  -53,  -30
 190,  -81,    5
 -32, -123,   46
  12,    2,    9
  40,  -44,   31
-186, -144,  -80
  56,  124,   99
-187, -176,   29
-154,  -37,   37
-142,   50,  -48
  35,   45,  -53
  65, -101,   25
 230,  -26,   76
-434,  149, -112
-103,  -94,   11
  88,   96,  -11
-105,  -45,   -9
-308,  -87,  -65
  44,  -48,  -16
 -65,  -14,   28
 152,   75,  -36
-208,  -17,   37
-132,   91,    4
-297,  -29,  -14
 -75,  117,  -33
 -46,  -62,   33
  35,   59,   77
 -74,  221,   19
  77,  -70,  -35
  -5,  -91,   71
-148,   -5,   69
-331,  105,  -66
 -14,   50,   -7
  39,    0,   74
 112,  -13, -100
 -43,  -47,   21
  -8,  -90,   88
  89,  -23,   22
   7,  124,  114
 -43,  123,   54
 -29,  127,   69
  21,  -13, -130
 -63,  -30,   41
 -54,  -48,   27
 -17,  -57,  -30
 144,   22,  -89
  -4,   58,   80
 -79,   77,   38
  76,   33,   -5
  71,  -55,  -22
 -91,  -20,  131
  -4, -172,   39
 -18, -142,  -69
 -37,  -73,   27
  62,  -53,   21
   4,  -27,    4
  14,   -2,   -3
   8,    3,   -1
 -10,   -1,    5
 -13,   -2,    1
  -1,   -4,   -3
   1,    1,    0
  -3,    0,    0
   1,    3,    6
  -1,    0,    1
  -3,    2,    2
  -2,    2,    1
  -1,    3,   -1
  -3,    0,    1
  -3,    1,    1
  -4,    2,    3
  -3,    3,    1
  -1,    1,    0
  -3,    3,    1
  -3,    2,    2
  -4,    2,    1
  -5,    1,    2
  -1,    0,    1
  -1,    1,    1
  -2,    1,   -1
  -2,    1,    0
  -3,    2,    0
  -2,    1,    1
  -3,    2,    2
  -1,    1,    1
  -3,    2,    0
  -2,    1,    1
  -3,    1,    0
  -1,    0,    1
  -3,    2,    0
  -2,    1,    0
  -3,    3,    0
  -2,    2,    1
  -4,    2,    2
  -2,    2,    0
  -2,    3,    1
  -3,    1,    0
  -1,    2,    0
  -2,    1,    0
  -3,    1,    1
  -1,    2,    0
