ax,ay,az
 -54,  -40,   44
-110,  -81,  -31
 103,   53,  -74
 119,   16,   71
 109,   16,   69
  47,   -9,  -24
   5,   81,  -28
  37,  -46,   26
   5,  -75,   11
 -23,  -44,    4
 165,   31,   47
 -16, -103,   61
 -73,  -27,  -38
 124,  110,   72
  60,  -94,   50
 -98,  -14,   61
  69, -124,  -12
-261,   27,  -61
 -86,   59,  104
  25,    8,   47
 -22,   24,    2
   6,   34,  111
 -98,  107,   42
 112,  -58,  -29
  94,  151,  -37
 132,  -29,  -40
 188,   20,   53
  70,   49,   24
 192,  -13,  -25
 271,   -8,   17
 186,   -8,   20
 -34,   47,   23
 -72,    1,   66
 -29,  -52,   63
 137,   51,  -25
 150,   44,   43
 116,   82,  -37
  93,   44,  -48
 -88,   52,  -10
-386,   39,  -22
  91, -170,   47
 -95,   88,   -3
-133,  -32,   74
 114,  -39,   27
  61,  -40,   56
-222,  127,  -28
 243,  -36,  -43
-164,    4,  -53
   8,   65, -122
  96, -271,   67
-147,    9,   42
-129,  119,   62
 241, -110,  -70
 -95,   51,   44
 -94,   47,  102
-231,   72,   32
  60,   19,  -18
  -8,  -54,   48
-202,   -8,   35
  12,  -38,   38
 -43,  -28,    7
 -22,  -40,    2
  -4,  -43,   12
   0,   -7,   -3
 -38,  -27,   -3
  13,  -23,  -22
 115,   -7,   -5
 -59,  -70,  -43
  33,  -67,   57
  60,  -79,   41
 107,  -92,   74
  80, -108,  -45
 -55,   54,  122
-176,   35,   18
-243,    1,   76
 186, -140,   10
  61,  104,   46
  54, -172,  128
-123,  135,   21
 418, -128,  -44
 511,   31, -482
-130,  -94,  -18
 336, -227,   -8
 445, -444,  134
 212,   10, -118
-183,   43,   41
  15,  144,    8
 511,   48, -131
 -89,    6,  -73
 -96,   36,  -32
 111,  169,   18
  77,  -79,   23
 -16,  129,  -24
   6,   48,   -1
  16,   21,    3
  10,    2,    0
   3,    1,    0
   1,    0,   -1
  -3,   -2,   -4
  -3,    0,   -2
  -4,    0,   -1
  -3,    0,   -1
  -3,   -1,   -1
  -4,    1,   -1
  -1,    0,    0
  -2,    0,    0
  -3,    0,    0
  -2,    0,    0
  -2,   -1,   -2
  -2,    0,   -1
  -2,    0,   -1
  -1,    0,   -1
  -2,   -1,    0
  -1,   -1,   -2
  -2,    0,   -1
  -1,    1,   -1
  -2,    0,   -2
  -2,    0,   -1
  -2,    0,   -2
  -1,    0,    0
  -1,    1,    0
   4,    0,   -1
   0,    1,   -2
  -2,   -1,    0
  -3,    0,    0
  -2,    0,    0
  -1,   -2,   -1
  -3,    1,   -1
  -4,    0,   -1
  -3,    0,    0
  -2,    0,   -1
   3,   -1,    0
  -1,    0,    0
  -3,    0,    0
  -4,    0,   -1
  -3,    0,   -1
  -3,    0,   -1
  -5,    0,    0
  -2,    0,   -1
  -1,    1,   -1
  -1,    0,   -1
  -1,    0,   -1
  -3,    0,   -1
  -3,   -1,   -1
  -3,    0,    0
  -2,    1,   -1
  -1,   -1,   -2
  -1,   -1,   -1
  -2,    0,   -1
  -2,   -1,    0
  -1,    0,   -1
  -2,   -1,    0
  -1,    1,    0
  -1,   -1,    0
  -1,    0,    0
  -3,    0,   -1
  -1,    0,    0
  -1,   -1,   -1
  -2,    1,    0
  -2,    0,   -1
  -2,    0,   -1
  -2,    0,   -1
  -1,    0,    0
  -2,    1,    0
  -3,    1,    0
  -3,    0,    0
  -2,    0,    1
  -3,    0,    0
  -2,   -1,    0
  -3,    0,   -1
  -3,    0,   -1
  -2,    0,   -1
  -2,    1,    1
  -2,    0,    0
   0,    0,    0
  -2,    0,   -1
  -2,   -1,    0
  -1,    0,    1
  -2,   -1,   -1
  -3,    0,    0
  -2,    0,    0
  -1,   -1,    0
  -3,   -1,    0
  -2,    0,    0
  -3,   -1,    0
  -2,    0,   -1
  -3,    0,    1
  -3,    0,   -1
  -2,    1,    0
  -3,    0,    1
  -2,    1,   -1
  -2,    1,    0
  -2,    0,    1
  -2,   -1,   -1
  -2,   -1,    0
  -2,   -1,   -1
  -2,   -1,   -1
  -2,    0,   -1
  -2,    0,   -1
  -3,    0,    0
  -2,    0,    0
  -3,    1,    0
  -3,    1,   -1
  -2,    0,    0
  -2,    0,    0
  -2,    1,    0
  -2,    0,    0
  -2,    0,   -1
  -3,    0,    0
  -2,    0,    0
  -2,    0,    0
  -2,    0,    0
  -2,   -1,    0
  -2,    0,    0
  -2,    0,    0
  -2,   -1,    0
  -2,    0,   -1
  -3,   -1,   -2
  -3,   -1,    0
  -3,    0,   -1
  -3,    0,    0
  -1,    0,   -1
  -2,    0,   -1
  -2,   -1,    0
  -2,    0,    0
  -3,    0,   -1
  -2,   -1,   -1
  -3,   -1,   -1
  -2,    0,    0
  -2,    0,   -1
  -2,    0,   -1
  -2,   -1,   -1
  -2,    0,    0
  -2,   -1,   -1
  -2,    0,    0
  -2,    0,   -1
  -2,    1,    0
  -3,    0,   -1
  -1,   -1,    0
  -2,    1,    0
  -2,    1,    0
  -2,   -1,   -1
  -2,    1,   -1
  -1,    0,   -1
  -2,    1,    0
  -1,   -1,   -1
  -2,    1,   -2
  -2,    1,    0
  -2,    0,    0
  -3,   -2,    0
  -2,   -1,    0
  -1,   -1,    0
  -1,    0,   -1
