ax,ay,az
 -68,  -41,  -14
  89,   38,   41
-130, -142,  -67
  77,   74,  -60
  26,   85,  -35
  -1,  -26,  -54
  97,   83,   38
-121,   27,   -4
-180,   38,  -23
-199,   42,   58
-111,  157,  184
 152,   90,   47
  34,  -82,   67
 247,  -39,   29
   8, -115,   44
-235,  -51,  -17
  99, -148,  116
 302, -140,    6
 -92,   27,  -18
 178,  -84,   39
  39,  -28,    8
-155,  -14,   92
 -58,  -79,   53
 224, -100,   27
  12,  -18,   13
-149,  -33,  -17
 -74,   12,  -64
-161,  -19,   86
  -5,  177,  185
   5,  -51,   39
 334,   45,   88
 -45,   32,   30
 -25,    1,   24
 135,   -3,   -7
 -84,  -14,   72
  37, -121,  -67
   1, -142,   20
 -12,    4,   -5
  32,  -59,  -56
  26,    9,  -30
  -7,  -95,  110
-144,  -49,  -63
 239,  -83,  -15
 -30,  -11,  118
-314,  -93,   56
-138, -107,   52
-149,  -16,   69
  50,  -25,   -4
 -65,   93,   18
-210,   29,   31
 -68, -120,   18
  87,  -79,   68
   7,   -4,  -33
 153,  -78,  -13
 -96,   10,   -9
-179, -196,  201
 196,  -22,   37
 -74,   43,   18
-115,   15,   53
 142,  -29,    6
  51,    9,   65
 165,  106,  -80
  -9,   66,  119
 -41,   98,   75
 116,  110,  -86
 -52,   -4,  -86
 104,   -4,   22
  90,  120,   42
 -91,   30,  -78
-144,  169,  -56
 112,   65,  -32
 130,   75,   -7
  65,   32,  -64
 -64,   -5,  -59
  49,   83,  117
  97,    7,  -56
 164,   57,   37
 293,   91,  -25
 215,  -16,   20
  16,  -22,   70
  71,  -37,  -58
 -93,  -20,   -3
-147,  -67,   29
 -25,  -18,   16
-102,   14,  -12
 -19, -152,  -74
  -2,  -65,  -46
 -46,  -50,   54
   7,  -57,    3
  -5,   -1,    1
  -7,    3,    4
  -2,    2,    2
   1,    1,   -1
   0,    0,    1
  -1,    1,    1
  -3,    0,    1
  -2,    1,    0
  -2,    2,    1
  -2,    2,    0
  -3,    0,    1
  -3,    2,    2
  -2,    0,    1
  -1,    2,    0
   0,    1,   -2
  -3,    2,    2
  -2,    0,    0
  -1,    0,    0
  -3,   -1,    0
  -1,   -3,   -1
  -4,    2,    4
  -3,    2,    0
   1,    1,    1
   0,   -1,    0
  -1,   -1,    0
   0,    1,    1
  -1,   -3,   -2
  -1,   -4,   -2
  -2,   -1,    0
   0,    0,    1
  -2,    0,    1
  -1,    1,    0
  -1,    1,    0
  -2,    1,    0
  -1,    1,    1
  -1,    0,    0
  -2,    1,    1
  -2,    3,    1
  -1,    0,    1
  -2,    1,    0
  -3,    1,    1
  -2,    4,    1
  -2,    3,    1
  -3,    2,    1
  -3,    1,    1
  -2,    1,    2
  -2,    1,    0
  -2,    3,    2
  -2,    0,    1
  -2,    1,    1
  -3,    1,    1
  -3,    4,    0
  -2,    1,    2
  -1,    1,    1
  -1,    1,    2
  -2,   -1,    1
  -1,    1,    1
  -2,    2,    1
  -2,    1,    0
  -1,    1,   -1
  -3,    1,    1
  -2,    0,    0
  -2,    0,    0
  -2,    1,    1
  -3,    1,    1
  -2,    1,    1
  -3,    1,    1
  -2,    2,    1
  -3,    0,    0
  -2,    2,    3
   1,    3,    2
  -2,    1,    1
  -3,    1,    1
  -3,    0,    1
  -3,    2,    1
  -2,    1,    0
  -1,    0,    0
  -3,    2,    0
  -4,    2,    0
  -1,    1,    0
  -3,    1,    0
  -2,    2,    0
  -3,    3,    1
  -2,    0,   -1
  -2,    1,    1
  -3,    1,    1
  -2,    0,    0
  -2,    2,    0
  -2,    1,    1
  -3,    1,    2
  -3,    0,    1
  -2,    1,   -1
  -3,    2,    2
  -2,    2,    2
  -2,    2,    0
  -3,    2,    2
  -2,    1,    1
  -2,    1,    0
  -2,    2,    2
  -3,    2,    1
  -2,    1,    1
  -1,    2,   -1
  -2,    0,   -1
  -2,    2,    1
  -2,    2,    0
  -3,    2,    1
  -3,    1,    0
  -3,    2,    0
  -2,    2,    1
  -2,    1,    1
  -2,    3,    2
  -2,    1,    1
  -2,    0,    0
  -3,    2,    1
  -2,    2,    1
  -3,    2,    1
  -2,    1,   -1
  -2,    2,   -1
  -2,    1,    0
  -3,    2,    2
  -3,    1,    0
  -1,    1,    2
  -2,    0,    1
  -2,    2,    1
  -3,    3,    0
  -3,    1,    1
  -3,    2,    1
  -2,    1,    1
  -2,    1,    1
