ax,ay,az

-122,  -23,  -30

 -49,   -2,  -17

 -63, -102,   12

 -51,   34,  -35

   1,   25,   30

  33,  119,  -73

-110,  -80,  102

-416,   44,  -16

 120,   20,   45

 127,  -64,  -17

 -22,  -18,   32

  49,   58,   25

-107,   77,   66

  76,   70,   96

-140,   15,  161

-389,   93,   -1

-346,   51,   84

 -39,  -58,   52

 262,   84,   10

 -67,   62,  -80

  58,  -82,   37

 -16,  -15,   42

-221,   91,  -87

 -81,  -79,  -87

-162,   53,   -6

 -95,  -10,   -5

-207,   77,   -2

  80,   40,  -20

-226,   13,   20

 -10,  165,  -70

  56,   26,  -47

-229,   53,    6

 180,  -46,    1

 -48,  -61,   63

  90,   75,  -33

 -31,   62,  -39

 -65,  190,   33

 -17,  -47,  -49

  47,  -86,   28

-176,  119,  -10

   3,   88,  -65

 149,   99,   31

-122,   64,   10

   3,    9,   75

 158,  106,  -10

-107,  147,  -33

-213,  118,   -8

 120,   34,  -17

 173,  -25,  -10

 111,   31,   25

  58,  -50,  -31

  13,  -68,   43

  32,  -86,   -2

  30,  -27,    4

  21, -107,   29

 161,  -64,  -24

   3,  -13,   12

-100,  -52,   -3

-231,   -7,    3

  70,  -64,   12

  49,    7,  -28

-100,   26,  -30

 238,   13,    7

 -26,   47,  -32

 299,   30,    6

 214,   45,    1

  82,   -2,   24

 -58,   77,  -15

  20,   -2,   24

 180,   -1,  -22

  81,   25,  -12

 108,  -15,   58

 163,  -46,  -13

-117,  -40,  -33

-106,   96,  -20

  -6,   70,  -45

  97,  -20,   31

 177,   24,   40

   6,   41,   -1

 -61,  -24,   72

 109,  -67,   25

 292,   43,  -11

 -26, -198,   25

   9,  -81,   22

  73, -104,    1

-113,   -9,   -2

-159,  -10,   -2

 262,   40,   10

-132,  -63,   85

 -22,  -23,    4

  71,   23,   37

-187,   28,  -24

  24,  -16,   13

 107,  -21,   45

-111,   36,  -28

 -24,   -9,  -48

  84,   21,   56

  87,   38,   54

-108,  -51,  -31

-149,    2,  -55

 130,  -21,   60

 272,  -44,   32

  27,   21,   37

-145,  -81,   48

 -31,   93,   76

   2,  -38,   29

 -12,  -66,  -41

 144,   75,   61

 147,  -48,  138

 -29,   46,  -97

-128,  -95,   -2

  11,   15,  127

  46, -114,    2

  47,  -24,  -36

  80,  -20,  -33

  87,  -28,   23

  74,  -24,  -49

 -28,   -3,  -10

  51,  -39,    6

 -38,   12,    6

  57,  -23,   -2

  16,   -1,   -1

  27,   -4,   -2

 -10,    0,    3

  -5,   -3,    1

  -9,   -2,    0

  -7,   -2,    0

  -5,   -4,   -1

  -5,   -3,    1

   0,   -4,    2

   0,   -4,    1

   0,   -4,    0

  -2,   -3,   -1

  -1,   -3,   -1

  -3,   -4,   -1

  -3,   -4,    0

  -3,   -3,   -1

  -2,   -3,    1

   0,   -4,    0

   2,   -3,    2

   0,   -3,    0

   1,   -4,    0

  -3,   -4,    1

  -1,   -3,    0

  -3,   -2,   -1

  -2,   -4,    0

  -1,   -3,    0

  -1,   -4,    0

  -4,   -3,   -1

  -1,   -2,    1

   0,   -3,    1

  -2,   -5,    1

  -3,   -4,    1

  -2,   -3,    0

  -1,   -5,    0

  -2,   -4,    0

  -1,   -3,   -1

  -2,   -4,    1

  -2,   -3,   -1

  -1,   -5,    0

  -2,   -2,    1

  -1,   -3,    0

  -2,   -4,   -1

  -2,   -4,    1

  -2,   -2,    0

  -2,   -4,   -1

  -1,   -4,   -1

  -2,   -4,    0

  -2,   -4,    0

  -3,   -4,    1

  -2,   -3,    0

  -2,   -3,   -1

  -2,   -4,    0

  -2,   -4,    1

   0,   -4,    0

  -3,   -3,   -1

  -2,   -4,    0

  -2,   -4,    0

  -1,   -4,    1

  -1,   -3,    0

   0,   -3,    1

  -1,   -4,    0

  -1,   -4,    0

  -3,   -5,    0

  -3,   -3,    0

   1,   -3,   -1

  -2,   -3,   -1

  -3,   -3,    0

  -1,   -4,   -1

  -1,   -5,   -1

  -1,   -4,    0

  -2,   -3,    0

  -2,   -4,    0

  -2,   -3,   -1

  -2,   -4,    0

  -3,   -3,    1

  -3,   -3,    1

  -4,   -3,    1

   0,   -3,   -1

  -1,   -4,    0

  -2,   -4,   -1

  -1,   -5,    0

  -1,   -3,    1

  -1,   -4,   -1

  -3,   -4,    0

  -1,   -4,    1

  -2,   -3,    1

  -1,   -5,    0

  -1,   -3,    0

  -2,   -3,    0

  -2,   -3,   -1

  -3,   -4,    0

  -3,   -4,   -1

  -2,   -3,   -1

  -1,   -3,    0

end

