ax,ay,az

  19,  -23,    4

  -4,    1,   70

 -61,  -15,   60

-151,  -22,   78

 -18,   10,  -31

 138,  -88,  -62

 153,  -15,  -53

-108, -140,   -2

 200, -134,  -74

  20,  108,   98

  61, -120,  -40

 192,  -96,  104

 197, -120,   97

  57,  -49,   54

 132,   24,   34

 -22,   54,   50

   7,  -17,   -2

 128,   65,   54

  14,   90,   26

  39,   45,   33

  55,   31,   52

 -42,    8,   -2

  40,  -43,   10

  -5,   77,    6

  88,  -10,   35

  15,   13,   -2

  19,   30,   -1

   5,  -36,    4

   9,   -2,    5

 -13,   -8,    2

  10,   -1,    1

   6,    3,   -1

   9,   -2,   -1

  16,    0,   -3

  38,    6,    0

  18,   41,    9

  36,    3,  -21

   5,   84,  -28

  27,  -28,   20

 -41,  -14,  -43

 118,   22,   52

 264,   66,  -22

  43,   44,   52

 115,   84,   25

   1,   31,   -8

 -80,  128,   40

 145,  -46,  -59

  10,   48,  -21

-247,   63,   28

  77,   88,   13

 181,  -42,  116

 202,   75,  126

 -26,   -8,  -32

 -15,    9,  146

-212,  -34,  113

 278,    9,    3

-297,   80,   64

-340, -145, -213

 -74,  149,   70

-286,  -19,   79

-140,  161,  169

-352,   16,   93

 297,  -86,   -6

 107,  -41,   -6

 -56,  -70,   93

-129,   75,   65

 -85,  -23,   17

 -64,   28,   13

  85,  -76,  -12

 -23,  -22,   13

 -14,   -6,    3

  -8,   -6,    0

  -1,   -5,   -1

  -7,   -7,    1

   4,   -1,    1

   4,   -3,    1

   2,   -4,    0

  -1,   -2,    0

  -1,   -3,    0

  -2,   -3,    0

  -1,   -4,   -1

  -2,   -4,    1

   0,   -4,    1

   1,   -5,    0

   0,   -4,   -1

   0,   -3,    0

  -1,   -4,    0

   1,   -4,    0

  -1,   -2,    0

  -2,   -2,    2

  -2,   -4,    0

  -2,   -4,    0

  -1,   -4,   -1

  -1,   -3,   -1

   0,   -2,   -1

  -1,   -3,    0

   2,   -2,    1

  -2,   -4,    0

  -2,   -5,    1

  -2,   -4,   -1

  -2,   -3,    1

  -2,   -4,    0

  -1,   -5,    1

  -2,   -4,   -1

  -2,   -4,    1

   0,   -5,    0

   0,   -4,    1

  -1,   -4,    0

  -2,   -4,   -1

  -3,   -4,    0

  -1,   -4,   -1

  -2,   -4,    0

  -2,   -4,    1

  -2,   -4,    0

  -2,   -4,    0

  -1,   -4,   -1

   0,   -5,    0

  -3,   -4,    0

   0,   -3,   -1

   0,   -4,    0

   0,   -5,    0

  -1,   -4,    0

  -2,   -3,    0

  -2,   -5,    0

  -2,   -5,    1

  -2,   -4,   -1

  -1,   -3,   -1

  -2,   -4,    1

  -1,   -3,    0

  -2,   -3,    1

  -3,   -4,    1

  -3,   -5,    0

  -2,   -4,    0

  -2,   -4,   -1

   0,   -4,    0

  -2,   -5,   -1

  -3,   -4,    1

  -1,   -4,    0

   0,   -4,    1

  -1,   -4,    0

  -1,   -4,    0

  -2,   -4,    1

  -2,   -4,    0

  -1,   -4,    0

  -2,   -4,    1

  -1,   -3,    0

  -2,   -4,    1

  -2,   -3,    0

  -2,   -3,    0

  -1,   -4,   -2

  -2,   -3,    1

  -1,   -4,   -1

  -2,   -4,    0

  -2,   -4,    1

  -1,   -3,    0

  -2,   -4,    1

  -1,   -3,    0

  -1,   -4,    0

  -2,   -4,    0

  -2,   -5,    0

  -3,   -3,    0

   1,   -3,    0

   0,   -4,    0

  -1,   -3,    0

  -2,   -3,    0

  -2,   -5,   -1

  -3,   -4,    0

  -4,   -4,   -1

  -2,   -4,    1

  -1,   -4,    0

  -1,   -4,   -1

  -2,   -3,    0

  -2,   -4,   -1

  -1,   -4,    0

  -2,   -4,    0

  -1,   -4,    0

  -1,   -5,   -1

  -2,   -5,    0

  -1,   -4,    0

  -1,   -3,    0

  -1,   -4,    0

  -2,   -4,    0

   0,   -4,   -1

  -1,   -4,    0

  -2,   -3,    0

  -2,   -4,    0

  -3,   -4,   -1

   0,   -4,    1

   0,   -4,    0

  -2,   -4,    0

  -3,   -4,    0

  -1,   -3,    0

  -2,   -3,   -1

  -2,   -4,    0

  -1,   -5,    0

  -1,   -3,    1

  -1,   -3,    1

  -2,   -3,    0

  -1,   -4,    0

  -2,   -3,    0

  -1,   -5,    0

  -3,   -4,    0

  -2,   -4,    0

  -1,   -5,    0

   0,   -4,    0

  -1,   -4,    0

  -2,   -5,    0

  -2,   -3,   -1

  -2,   -4,   -1

  -1,   -3,    0

  -2,   -4,   -1

  -3,   -4,   -1

  -3,   -4,    0

  -3,   -3,    0

  -1,   -3,    0

  -1,   -4,    1

  -1,   -4,    0

  -2,   -4,    1

  -1,   -4,    0

  -2,   -4,    0

  -2,   -4,    0

  -2,   -5,    0

  -2,   -3,    0

  -2,   -4,    0

end

