ax,ay,az

   4,  102,  -58

 -12,  -64,   60

 -47,   39,  -23

  78,   87,  -14

  17,   15,   -1

 -17, -107,   44

  36,   98,  -35

   1,  -32,   10

 125,  -74,   -4

 -65,  103,   16

-199,   35,   -7

 -11,  -81,  -23

 -26,   59,   42

 165,  -33,   -1

 182,  -75,  -18

 126,  -13,  -16

 236, -101,    0

-223,  200,    0

  28,   96,  -16

 279,   49,  -65

   9,    9,   32

 -53,  -11,   21

  98,   98,  -52

  10,   14,  -21

  36,   68,  -19

-188,   66,  -72

  88,   30,   27

  53,   33,  -16

 -26,   82,    7

  17,    4,    3

  26,    2,    4

   5,    3,   -2

  59,   40,   35

  58,   46,   35

   0,  -34,   23

 -26,   40,   19

 -77,   36,   26

 163,  -86,   20

  57,   75,   43

  26,  -10,    2

-116,    5,   53

 -64,  -14,   30

-163,   48,   13

 171,  -32,   19

  89,   74,  -20

-218,   96,   -9

  78,  121,  -14

-163,  -91,   60

 233,  -36,   17

-136,   34,   81

 -75,  159,  -92

 112,   57,   80

 -69,  237,  -21

-127,   -2,  -16

 161,  -38,  -80

 -98,  -70,   39

 366,  353,  459

 511,  390,  157

 364,  -13,   22

-274,  511,  114

-240,   90,   89

-203,   -7,    6

  94,  -67,  -29

 -25,  -25,   15

 -29, -122,  -39

-210,  -25,  -38

   8, -156, -100

-152, -246,  -37

 -31, -140,    5

 -25,   -3,   10

 -15,   -2,    5

  11,   -6,   -4

  -4,   -6,    0

   1,  -13,    3

  -3,   -7,    1

   4,   -4,    0

   8,    3,    0

  -2,   -3,    0

  -6,   -5,    1

  -4,   -4,    0

  -4,   -2,    0

  -2,   -3,    1

   5,   -4,    1

  -2,   -4,    0

  -1,   -4,    1

  -1,   -5,    0

   1,   -4,    0

  -2,   -3,   -1

  -3,   -3,    2

  -2,   -4,    1

  -2,   -5,   -1

  -1,   -4,    0

  -2,   -2,    1

  -4,   -4,   -1

  -3,   -4,   -1

  -1,   -3,    0

   1,   -3,    0

   0,   -4,    0

  -2,   -4,   -1

  -4,   -5,    0

  -3,   -4,   -1

  -3,   -1,    0

   3,   -4,    0

  -1,   -4,    0

  -2,   -3,    0

  -3,   -4,    0

  -5,   -2,    0

  -3,   -4,    0

   1,   -4,    0

   0,   -4,    0

  -1,   -3,    1

  -2,   -3,    0

   1,   -3,    0

   0,   -4,    0

  -1,   -4,    0

  -1,   -5,    1

  -2,   -4,    0

   1,   -4,    1

  -6,   -5,    0

  -3,   -3,   -1

  -4,   -3,    1

  -3,   -2,    2

   0,   -4,    0

  -2,   -3,    0

  -3,   -3,    1

  -6,   -3,   -1

  -3,   -5,    0

  -2,   -4,    1

   0,   -4,    1

   2,   -5,    0

   1,   -4,    0

   0,   -3,    1

  -2,   -4,    1

  -3,   -5,    0

  -3,   -4,   -2

  -3,   -3,    0

  -3,   -4,   -1

  -2,   -5,   -1

  -4,   -4,    0

  -3,   -3,    1

   0,   -3,    0

  -1,   -4,    0

  -1,   -4,    1

  -3,   -3,    0

  -1,   -4,   -1

  -3,   -3,    0

  -3,   -3,    0

  -4,   -5,   -1

  -4,   -3,    3

  -4,   -5,   -1

   0,   -3,    1

   0,   -3,    0

   1,   -4,   -1

  -1,   -4,    1

  -4,   -4,   -1

  -4,   -3,    0

  -4,   -2,    2

  -3,   -3,    1

  -2,   -4,    1

   0,   -5,   -1

  -2,   -3,    0

  -2,   -2,    0

  -2,   -5,    0

  -2,   -3,    1

  -3,   -4,   -1

  -3,   -4,    1

  -3,   -2,    0

  -2,   -3,    1

  -2,   -2,    0

  -2,   -4,   -1

  -2,   -5,    0

  -3,   -4,   -1

  -3,   -4,   -1

  -3,   -2,   -1

  -3,   -4,    0

  -3,   -4,    0

  -2,   -4,    0

  -2,   -4,    0

  -2,   -3,    1

  -3,   -4,    0

  -1,   -5,   -1

  -3,   -4,    1

  -4,   -4,    0

  -2,   -3,    0

  -2,   -5,    0

  -2,   -4,    1

  -2,   -4,   -1

  -3,   -5,   -1

  -3,   -3,    1

  -4,   -4,    0

  -2,   -3,    0

  -2,   -4,    0

  -1,   -4,    0

  -2,   -4,    0

  -3,   -4,    0

  -3,   -3,    1

  -2,   -4,    1

  -2,   -5,    1

  -2,   -4,   -2

  -1,   -4,    1

  -2,   -3,    0

  -2,   -4,   -1

  -3,   -4,   -1

  -3,   -4,    0

  -3,   -4,    0

  -3,   -4,   -1

  -2,   -5,    0

  -2,   -4,   -1

  -1,   -4,   -1

  -2,   -3,   -1

  -2,   -4,    2

  -3,   -5,    0

  -3,   -4,    0

  -3,   -4,    0

  -3,   -3,    0

  -2,   -4,    1

  -2,   -2,    1

  -1,   -4,    0

  -3,   -5,    0

  -3,   -4,    0

  -3,   -2,    1

  -3,   -3,    0

end

