ax,ay,az

 -64,  -12,   21

  77,   50,   24

 -29,   32,   -7

  70,   43,   24

  79,  -14,    3

-121,  251,   26

   6, -143,   50

 -51,   37,   49

  73,   12,  -18

 202,  -13,    9

 -72,   12,   55

  42,   64,  -49

  61,   39,  -78

 249,   24,   -5

  17,   77,   51

 178, -157,   44

-241,  222,   47

  52,   10,   51

 305, -126,    7

  42,  299,  -76

 120,   83, -101

 -20,  -40,  -86

 326,  -40,  -46

 215,   36,    8

 -94,  -97,  178

 511, -185,  -34

  32, -118,   13

-161,  -42,   50

  71,  -71, -120

  74,   65,  -66

 -68,  -34,   25

  78, -167,   23

 -26,  -93,   61

 -34,   71,    8

  43,   -4,   12

  -1,    8,  -61

 -25,  -21,  -43

  64,  -18,   17

-193,  -63,  -36

  16,  -63,   14

 -76,   40,   12

-110,    4,   23

 -40,  -33,    8

 225, -101,   84

 269, -137,   80

 115,    2,   52

-173,  122,  -54

  62,   -1,  -14

  40,  -83,   -6

 -88,   38,   63

 -78,  -45,   25

  42,   93,   23

 142,   30,   46

 -17,   48,   48

-130,  235,   30

 -40,   28,  -36

  21,   35,   17

  26,   52,  -39

 -85,   48,   17

 103,  -34,   52

   0,   71,   -5

 -31,  -38,   17

-127,  -38,   58

  39,   -2,   16

-119,   67,  -60

  30,   49,   -8

 105,   65,  -43

 147,   17,   15

 -16,  100,  -57

 148,   32,   -1

 -68,   70,   13

   0,   46,  -72

  -2,  -55,  -29

 -11,   60,  -16

 112,  -22, -100

 -97,   49,  -40

  11, -107,   16

-196,    0,    6

 160,  -49,   13

  15,  -84,    0

  72, -138,   11

 -17,  -15,   10

  18,   -7,   -1

   8,   -4,    0

   6,   -1,    1

  -1,   -5,   -2

  -4,   -2,    1

  -4,   -2,    0

  -5,   -4,    2

  -4,   -6,    0

   2,   -5,   -2

   4,   -3,    0

   3,   -2,    0

  -1,   -4,   -2

  -1,   -4,    1

  -2,   -3,    0

  -1,   -4,    0

  -2,   -2,    0

  -2,   -3,    0

  -3,   -4,   -1

  -3,   -5,   -1

  -1,   -3,    0

   0,   -3,   -1

  -1,   -4,    0

  -3,   -3,   -1

  -1,   -4,    0

  -1,   -3,    0

  -2,   -4,    0

  -2,   -1,    0

  -2,   -3,   -1

  -3,   -4,   -1

  -5,   -4,   -1

  -5,   -3,    1

  -5,   -3,    0

  -3,   -3,    0

  -1,   -4,   -1

  -3,   -4,    0

  -2,   -3,    0

  -2,   -3,    0

  -3,   -3,    0

  -4,   -1,   -1

  -4,   -3,   -1

  -3,   -3,    0

  -2,   -3,   -1

  -3,   -3,    0

  -2,   -3,    1

  -1,   -3,    0

  -2,   -2,    1

  -2,   -3,    0

  -3,   -3,    0

  -2,   -4,    0

  -2,   -4,    0

  -3,   -3,    2

  -3,   -2,    0

  -3,   -3,   -1

  -2,   -4,    2

  -3,   -2,    0

  -3,   -4,    1

  -3,   -2,    0

  -2,   -4,   -1

  -1,   -4,   -2

  -3,   -3,    1

  -3,   -4,    0

  -3,   -3,    0

  -2,   -3,    0

  -2,   -3,    0

  -3,   -2,    0

  -2,   -3,    0

  -3,   -2,    0

  -2,   -2,   -1

  -3,   -4,    0

  -3,   -2,   -1

  -3,   -2,   -1

  -3,   -3,   -1

  -3,   -3,    0

  -2,   -3,    1

  -2,   -4,   -1

  -3,   -1,    0

  -2,   -3,   -1

  -4,   -4,    1

  -3,   -2,    1

  -3,   -2,    0

  -3,   -3,   -1

  -3,   -2,    0

  -3,   -2,   -1

  -3,    0,    1

  -2,   -4,   -1

  -2,   -3,    0

  -2,   -4,    1

  -1,   -3,   -1

  -3,   -3,   -1

  -3,   -3,    0

  -2,   -2,   -1

  -1,   -3,    0

  -2,   -3,   -1

  -2,   -3,    0

  -2,   -3,    1

  -3,   -3,    1

  -2,   -3,   -1

  -3,   -3,    1

  -3,   -3,   -1

  -2,   -4,   -1

  -3,   -4,   -1

  -3,   -3,    0

  -1,   -2,   -1

  -3,   -1,    0

  -2,   -3,    0

  -3,   -3,    0

  -2,   -3,    1

  -2,   -3,   -1

  -2,   -2,    1

  -2,   -3,    1

  -4,   -3,   -1

  -1,   -3,   -1

  -3,   -3,   -2

  -1,   -5,   -1

  -2,   -5,   -1

  -3,   -4,   -2

  -2,   -2,    0

  -2,   -3,    0

  -3,   -3,    0

  -2,   -3,   -1

  -1,   -4,   -2

  -2,   -4,    0

  -2,   -3,   -1

  -3,   -3,    0

  -2,   -2,   -1

  -2,   -2,   -1

  -2,   -4,   -1

  -1,   -3,    0

  -2,   -3,    0

  -2,   -3,    0

  -2,   -3,   -1

  -2,   -2,    0

  -2,   -3,    1

  -2,   -3,   -1

  -3,   -5,    0

  -3,   -2,    0

  -2,   -3,    0

  -2,   -2,    0

  -2,   -3,   -1

  -2,   -3,    0

  -3,   -4,    0

  -2,   -2,   -1

  -2,   -3,    0

  -3,   -3,    1

   0,   -3,    0

  -2,   -3,   -1

  -2,   -3,    0

  -2,   -2,    0

  -2,   -4,    0

  -3,   -3,   -1

  -3,   -2,   -1

  -2,   -4,   -1

  -2,   -3,    0

  -2,   -3,   -1

  -2,   -4,    0

  -3,   -3,    0

  -3,   -3,   -1

  -1,   -2,    0

  -1,   -3,   -2

end

