ax,ay,az

  51,   20,    8

 -60,   -1,   63

  42,    2,   72

 101,   -1,  -26

-195,   98,   61

-120,  -31,   44

 159,  -88,   49

 234,   67,    4

  12,   39,  119

 -85,   18,   88

  31,   -1,   42

  61,   15,   28

 -18,  -31,   46

  78,   -5,    7

  26,  -59,   51

 -32,   86,  -45

 -17,  -30,   22

 106,   44,   33

-133,   71,  -10

 -37,  -25,   30

  98,    4,  -27

  93,   82,  -57

  84,  -76,   77

 119, -111,   67

 133,  -60,   22

-125,  151,   -1

 199,    0,   51

 -76,  103,    2

 -23,  -13,    4

-205,  121,    9

  90,   55,   12

 -21,  -69,    0

 135,   35,   -9

  63,  128,  -11

-125,  136,  110

  54,   93,   14

-161,   81,   50

 -17,  -70,   36

-396,  113,   73

-333, -116,   53

-289,   45,   95

-162,   93,   15

 195,  -51,  -36

 -70,  110,  -40

 176,  -12,   25

 -37,  -79,    1

 -38,  -45,   58

  62,  -54,   71

   8,  -56,  -17

  30, -202,    8

 -26,  -33,    0

   6,  -54,  -16

  22, -102,   -3

 -52,  -17,  -47

 -12,  -56,  -18

  93,  -20,  103

  34,  -84,   25

  78,  -77,   48

 227,   -9,  -36

-110,   16,  -30

  90,  -37,   -7

   4,    5,   45

-104,  -64,  -22

  10,   49,  -25

  40,   -5,   53

  51,  -70,  -21

-120,   24,   12

 -29,   84,  -27

 182,   43,  -58

 -65,   79,  -26

 -97,   36,   52

 -24,  -31,   32

 187,   39,   33

 -98,    2,   11

 115,  -72,  -65

 -69,   58,   21

-232,   50,   15

  28,  -13,    1

   8,  -46,   17

 103,    2,  -18

  74,  -51,   -8

-122,  -10,   41

 -83,   69,   57

-468,   15,    1

-104,   26,   34

 -38,  192,   27

  90,   67,   92

-290,  129,  -68

 252,  102,  -27

-127,  122,  210

   0, -178,  -41

  12,  -67,   38

-213,  190,  108

-177,   88,  114

-106,  -31,  137

 -18, -247,  -47

  66, -283,   23

 136,  -52,  -91

  10,  -59,    1

 -31,  -51,    0

 -50,   37,   -5

 -34,    3,   25

  18,  -49,    0

  42,  -18,   -5

  19,   -5,   -1

   3,   -4,    1

  13,   -3,    1

 -22,   -5,    0

  -7,   -6,    0

 -11,   -6,    0

 -19,   -9,    2

  -2,   -3,    1

   3,   -3,    0

  13,   -7,   -1

  -1,   -4,    2

   4,   -4,    0

  -5,   -6,    1

  -4,   -5,    0

  -6,   -5,    0

  -5,   -5,    1

  -4,   -4,    1

  -4,   -6,    1

  -1,   -5,    1

  -3,   -5,    0

  -3,   -5,    0

  -3,   -5,    0

  -2,   -5,    0

  -3,   -5,   -1

  -3,   -6,    1

  -2,   -7,    0

  -4,   -4,    2

  -4,   -4,    1

   0,   -6,    1

  -2,   -5,   -1

  -2,   -6,    0

   0,   -6,    0

  -3,   -6,    1

  -3,   -6,    2

  -3,   -6,   -1

  -3,   -5,    0

  -3,   -6,    1

   0,   -5,   -1

  -2,   -4,    1

  -3,   -5,    0

  -3,   -5,    2

  -3,   -5,    0

  -3,   -5,   -1

  -3,   -5,    1

  -4,   -5,   -1

  -2,   -5,    1

  -3,   -5,    1

  -3,   -6,    1

  -2,   -5,    0

  -2,   -5,    0

  -3,   -6,    1

  -2,   -5,    0

  -2,   -5,    1

  -3,   -4,    1

  -3,   -5,   -1

  -3,   -5,   -1

  -2,   -5,    0

  -2,   -5,    0

  -3,   -4,    0

  -2,   -5,    0

  -3,   -5,    0

  -4,   -5,   -1

  -4,   -5,    0

  -2,   -4,    0

  -2,   -6,    0

  -3,   -5,    0

  -3,   -4,    1

  -3,   -5,    0

  -4,   -5,    1

  -2,   -6,    1

  -2,   -5,   -1

  -4,   -4,    1

  -3,   -5,    0

  -3,   -6,    0

  -3,   -6,    0

  -2,   -5,    0

  -3,   -5,    1

  -2,   -4,    1

  -3,   -5,    0

  -2,   -5,    0

  -2,   -5,   -1

  -2,   -5,    1

  -3,   -4,    1

  -2,   -5,   -1

  -3,   -5,    0

  -3,   -6,    0

  -3,   -5,    2

  -2,   -6,   -1

  -2,   -5,    0

  -1,   -6,    1

  -2,   -6,    1

  -3,   -5,    1

  -2,   -5,    2

  -2,   -6,    1

  -3,   -7,    0

  -4,   -5,   -1

  -3,   -5,    1

  -4,   -5,    1

  -3,   -5,    0

  -2,   -5,    1

  -3,   -5,    1

  -2,   -5,    0

  -3,   -5,   -1

  -3,   -6,    0

  -4,   -7,    1

  -3,   -5,    1

  -3,   -4,    0

  -2,   -5,    1

  -3,   -5,   -1

  -3,   -6,    1

  -4,   -5,    0

  -1,   -6,    0

  -2,   -6,    0

  -4,   -5,    0

  -1,   -5,    0

  -2,   -4,    0

  -3,   -2,    1

  -2,   -6,    1

  -3,   -6,    0

  -3,   -5,    1

  -2,   -4,    1

  -3,   -5,    0

  -2,   -6,    0

  -3,   -5,    1

  -2,   -6,    0

  -3,   -6,    0

  -2,   -5,    0

  -2,   -5,    0

  -2,   -5,    0

  -3,   -5,    1

  -2,   -5,    1

  -3,   -6,    0

  -3,   -6,   -1

  -3,   -6,   -1

  -4,   -4,    1

  -2,   -5,    0

  -3,   -5,    1

  -2,   -7,    0

end

