ax,ay,az

  28,  -40,  -10

  24,  -62,   -3

  29,    0,  -13

  57,   -3,   20

  18,  -38,  -95

  13,   46,   -5

  21,   40,   11

  50,  -10,   14

  23,   11,   -5

  31,    0,   -1

  18,    4,  -11

  14,   12,   24

   7,   -1,    2

   0,   -3,    0

  -3,   -8,   -4

  -3,   -1,    1

  -7,   -6,   -2

  -6,    3,    7

  -5,   -4,    1

  -4,   -5,    0

   0,    3,   -1

   6,   -9,   -1

   3,   -7,    0

   2,   -3,    0

  -2,   -6,   -4

  -4,   -3,   -1

  -7,    3,    2

  -8,   -2,   -1

  -5,   -1,    1

  -3,    3,   -2

 -13,   -6,  -10

  -1,   -5,   -1

  -2,   -4,    0

  -3,   -7,   -1

   0,    1,    0

  -1,   38,    0

   7,  -62,   14

  -6,   -6,   -6

  18,  -50,    3

 -21,   -6,   16

  -3,    1,  -14

  20,  -93,    4

  75, -113,    6

   5,   -7,   -2

  -3,   -4,   -1

  -1,   -3,    0

  -1,   -4,    0

  -1,   -4,    0

  -1,   -7,   -4

   0,   -6,    0

   0,   -3,   -1

  -2,   -2,    0

   0,   -2,   -1

  -1,   -5,   -2

  -4,   -3,   -1

  -5,   -3,   -1

  -5,   -1,    1

  -5,   -2,    2

   7,   -6,   -3

  -3,   -2,    0

  -7,   -2,    3

 -15,   -6,   -1

 -24,  -26,   -5

   6,  -11,    8

  31,   14,   11

  39,   10,   32

 -13,    7,    4

  66,   -6,  -11

  17,   13,  -56

  12,    4,   -3

  42,   13,    0

  22,  -19,  -22

  28,  -11,  -40

  21,  -10,    7

  17,   -2,    0

  18,   -7,  -11

   3,    0,    1

  -4,   -8,   -8

 -15,   -7,   -3

 -12,    0,    5

  13,   -3,   -3

  -3,   -6,   -4

   5,   -5,    0

   6,   -4,    1

   0,   -4,    0

  -1,   -4,    0

  -3,   -2,    0

  -2,   -2,    1

  -2,   -2,    0

  -3,   -3,    1

  -1,   -5,    0

   0,   -3,    0

  -1,   -3,    0

  -3,   -3,    0

  -1,   -3,    1

  -4,   -3,   -2

  -6,   -6,    0

   0,   -4,    0

  -1,   -3,   -1

   1,   -3,    1

   0,   -4,   -1

  -2,   -2,    0

   1,   -3,    1

  -2,   -4,    0

  -2,   -3,    0

  -2,   -2,    1

  -1,   -5,   -1

  -1,   -4,    0

  -1,   -4,    0

   0,   -4,    0

   0,   -5,    1

  -2,   -4,   -1

  -2,   -3,    0

  -1,   -4,    0

  -2,   -3,    0

  -2,   -3,    0

  -1,   -4,    0

  -1,   -3,    0

   0,   -2,    0

  -1,   -1,   -1

  -2,    2,   -2

 -22,  -34,   -6

  -2,   -7,   -4

  -2,   -4,    0

  -1,   -3,    1

  -2,   -4,   -2

  -2,   -3,    1

  -1,   -4,    0

end

