ax,ay,az

 -16,   81,   22

 -11,   33,  -26

 -59,   56,   20

   2,   91,   29

  87,  -57,   10

 -33,   51,  -28

 -29,  -18,   62

  71,  148,   50

 -21,   67,   78

  60,   20,   17

 171,  -76,  -81

  56,  -90,   94

  24,   92,    6

 119,   -8,  -28

 140,  -93,   -4

 -99, -104,    4

  83,  -80,   11

 -61,  -70,   81

-351,   37,  -30

 258,  -24,   57

 460, -301,  -28

-138,  -91,   21

 -25,  -72,   27

 511,  -42,  -16

  43,  -22,   80

 -53,   45,   72

  88,  191,   28

-115,  -80,   16

 164, -131,   63

 226,   72,  -51

 -82,  -27,   18

-146,   98,   58

  15,  -54,   82

-134,  -45,   73

   2,  -28,   -2

-248,  129,   27

 -12,   19,  -74

 -71,  -63,  -63

 -78, -139,   43

 -46,  -37,  -70

-124,  -78,   77

 132, -130,  -69

 -67,   69,  -67

 253, -270,   -3

-114,   40,   -7

 150,   81, -107

 327,  105,   29

-484,   42,  162

 332,  511,  270

 280,   78,  -37

  27,  -15,  -37

  -5,   18,   37

-122,  166,  -23

 191,   66,  -21

-110,  -67,    2

  93,    1,   69

-153,   76,    3

 -24,   64,    9

 -67,   71,  -54

 176,  -45,    2

-122,   -6,   20

 -32,  -49,   65

  -8,   60,   -1

 288,   53,  -27

 470, -175,   41

 -53,   24,  -18

 -27,    2,  -27

-161,   41,   23

  -6,  -47,   24

 174,   79,  -15

  85,   72,   12

  15,  -31,   54

-142,  -51,  -41

  -1,    3,  -20

 -62,  -37,   13

  31,  130,  -55

  53,  -14,   15

 253,  -64,  -21

 132,   97,  -60

-106,  -30,  -22

 173,   37,  -59

  94,   26,  -16

 -85,  128,   29

-102,   18,   51

 -18,   38,  -29

  11,   96,   16

 100,  162,   15

  42,   33,   35

 127,   93,   -2

 -14,  -12,   16

  52,  -58,   44

  -2,   14,    1

 -26,  -57,  -23

 -20,   -4,  -35

   3,  -72,    2

   5, -202,  -32

  -2,  -50,  -13

  -6,  -10,   -3

  -8,   -3,    2

  -3,   -1,    1

  -1,   -2,    0

   2,   -4,   -2

   4,   -7,   -4

   0,   -4,   -1

  -1,   -3,   -1

  -3,   -1,    1

  -1,   -3,    0

  -1,   -4,    1

  -1,   -3,    0

  -5,   -2,    1

  -4,   -5,   -2

  -5,   -5,    1

   1,   -1,    1

   1,    0,    2

   3,   -3,    1

   0,   -3,    0

  -1,   -4,    0

  -3,   -4,   -2

  -1,   -2,    1

  -1,   -3,   -1

   1,   -3,    0

   1,   -3,   -1

   1,   -4,    0

   0,   -2,   -1

  -1,   -4,    0

  -2,   -2,    1

   1,   -3,   -1

   0,   -4,   -1

   0,   -4,    0

   0,   -3,   -1

  -1,   -4,    0

  -1,   -2,    0

  -2,   -3,    0

  -1,   -4,   -1

  -3,   -4,    0

  -1,   -5,    1

  -2,   -2,    0

  -3,   -2,    0

  -2,   -4,    0

  -1,   -3,    0

  -1,   -4,    1

  -1,   -3,    0

  -2,   -3,   -1

  -2,   -2,   -1

  -2,   -3,    0

  -2,   -3,    0

  -2,   -3,   -1

  -1,   -3,   -1

   1,   -4,   -2

  -3,   -2,   -1

  -2,   -2,    0

  -2,   -2,    0

  -2,   -1,    0

  -2,   -3,    0

   0,   -4,   -1

  -2,   -3,   -2

  -3,   -3,    0

  -4,   -3,    0

  -2,   -2,   -1

  -1,   -2,   -1

  -1,   -2,   -1

  -2,   -3,    0

  -3,   -2,    0

  -2,   -4,    1

  -1,   -3,    0

  -2,   -2,    0

  -2,   -3,    0

  -2,   -2,   -1

  -2,   -4,    1

  -3,   -3,   -1

  -3,   -1,    0

  -2,   -4,   -1

  -2,   -4,    0

  -2,   -3,    0

  -3,   -2,    1

  -3,   -3,   -1

  -2,   -2,    0

  -2,   -2,   -2

  -3,   -1,    0

  -2,   -2,   -1

  -2,   -2,   -1

  -4,   -3,   -1

  -3,   -4,   -1

  -3,   -2,    0

  -3,   -2,   -1

  -2,   -3,   -1

  -3,   -3,    0

  -1,   -3,    1

  -1,   -3,    0

  -2,   -3,    1

  -2,   -2,   -1

  -2,   -3,    0

  -1,   -4,    0

  -1,   -3,   -1

  -2,   -3,   -1

  -1,   -4,    0

  -3,   -3,    0

  -3,   -2,    0

  -3,   -3,    0

  -3,   -2,    0

  -3,   -5,    0

  -1,   -2,   -1

  -1,   -2,    0

  -2,   -3,    0

  -1,   -2,    2

  -2,   -2,   -1

  -2,   -3,    0

  -2,   -3,   -1

  -2,   -1,   -1

  -2,   -4,    0

  -2,   -3,   -1

  -2,   -3,    0

  -2,   -3,   -1

  -3,   -1,    0

  -3,   -2,    0

  -2,   -3,    1

  -1,   -3,    0

  -1,   -2,    1

  -2,   -2,    0

  -3,   -1,   -1

  -3,   -2,    0

  -2,   -1,    1

  -2,   -1,    0

  -1,   -2,    0

  -2,   -1,   -1

  -3,   -2,   -2

  -1,   -3,    0

  -2,   -3,    0

  -2,   -2,    0

  -2,   -3,    0

  -2,   -3,   -1

  -3,   -3,    0

  -3,   -1,   -2

  -2,   -3,    0

  -2,   -2,    0

  -2,   -3,   -1

  -1,   -2,    0

  -3,   -1,   -1

  -2,   -3,    0

  -3,   -2,    0

  -2,   -4,   -1

  -3,   -2,    0

  -3,   -3,   -1

  -3,   -2,   -1

  -3,   -2,   -1

  -2,   -4,   -1

  -2,   -3,   -1

  -3,   -3,    0

  -2,   -2,    0

  -2,   -2,    0

  -2,   -2,    0

  -2,   -1,   -1

  -3,   -1,   -1

  -1,   -1,    0

  -3,   -2,    0

  -3,   -2,   -1

  -2,   -3,    0

  -2,   -3,   -1

  -2,   -2,    0

  -2,   -1,    0

  -2,   -3,   -1

  -1,   -3,   -2

  -3,   -2,   -1

  -2,   -3,    0

  -3,   -2,   -1

  -3,   -4,   -1

  -2,   -1,    1

  -2,   -1,   -1

  -2,   -3,   -1

  -2,   -3,    0

  -3,   -3,    0

  -3,   -2,   -1

  -2,   -2,    0

  -2,   -2,   -1

  -2,   -1,    0

  -2,   -3,    0

  -2,   -2,   -1

  -3,   -2,   -1

  -2,   -3,    1

  -2,   -3,    0

  -1,   -2,   -1

  -3,   -2,   -2

  -3,    0,    0

  -2,   -2,    0

  -2,   -2,    0

end

